ProductName,imagelink,productlink,price,maxretailprice,stars,GlobalRatings,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,globalReviews,reviewsLink,HighLights,Model Name,Model ID,Size,Decal Color,Laminated,Material,Sales Package,Number of Stickers,Sticker Type,Finish Width,Finish Height,Weight,Number of Contents in Sales Package,Pattern,Suitable For,Re-usable,Width,Height,Other Dimensions,Art Form Type,Regional Speciality,Sticker Shape,Ideal Use,Printed Text,Lamination Type,Scratch Resistant,Ideal For,Depth,Washable,Diameter,Pack of,Brand,Model Number,Flower Type,Collection Type,Color,Shade,Fragrance,Flower Material,Occasion,Vase Included,Vase Material,Glitter Coated,Dust Resistant,Other Features,Flower Diameter,Stem Length,Total Length,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Warranty Service Type,brand_color,Number of Handles,Lining,Reversible,Transparency,Lining Material,Fabric Care,Number of Domes,Idol Included,Finish,Storage Type,Rust Resistant,Stain Resistant,Quantity,Set of,Type,Maximum Shelf Life,Handmade,Country of Origin,Length,Waterproof,Paper Type,Shape,Match,Pattern Repeat,Area Covered,Paper Density,Print Type,Lifespan,Air Freshener Type,Pot Material,Pot Color,Pot Size,Style,Brand Color,Sub-category,Important Note,Plant Material,Pot Width,Pot Height,Design,Mount Mechanism,Frame Included,Wall Mount,Base Material,Frame Color,Frame Material,Artist Name,Luxury Clock,Luxury Material,Power Source,Battery,Dial Color,Case Bezel Material,Case Color,Number of Batteries,Domestic Warranty,International Warranty,Number of Photos,Mounted,Stand Material,Finishing,Backing,Suitable Photo Size,Ideal Usage,Locking Mechanism,Other Lock Features,Stem Material,Character,Dial Material,Hour Markers,Number of Hands,Wash Care Instructions
Vcreate Décor 57 cm Buddha Wall Sticker And Decal Self Adhesive Sticker  (Pack of 1),https://rukminim1.flixcart.com/image/612/612/ks4yz680/sticker/q/w/6/buddha-wall-sticker-and-decal-medium-57-vchms0780l-vcreate-d-cor-original-imag5rtpezffggwd.jpeg?q=70,https://www.flipkart.com/vcreate-dcor-57-cm-buddha-wall-sticker-decal-self-adhesive/p/itmef99458b6c1df?pid=STIG5RTQS6DCGE4Q&lid=LSTSTIG5RTQS6DCGE4QP9U0GN&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.STIG5RTQS6DCGE4Q.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,195,699,4.3,142,85,36,9,7,5,11 Reviews,https://www.flipkart.com/vcreate-dcor-57-cm-buddha-wall-sticker-decal-self-adhesive/product-reviews/itmef99458b6c1df?pid=STIG5RTQS6DCGE4Q&lid=LSTSTIG5RTQS6DCGE4QP9U0GN&marketplace=FLIPKART,"[""Color: Black"",""Pack of 1"",""Size: 57 cm x 58 cm"",""Theme: Spiritual""]",Buddha Wall Sticker And Decal,VCHMS0780L,57 cm,Black,Yes,Vinyl,Wall Sticker With Installation Manual,1,Wall Sticker,57 cm,58 cm,150 g,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Kayra Décor Floral Wall Design Stencils for Wall Painting for Home Wall Decoration � Suitable for Room Decor, Ceiling, Craft and Floors (16 inch x 24 inch) (KHS275) KHS275 (SIZE:16"" x 24"")Beautiful reusable Wall Stencil  (Pack of 1, Painting Home Decor)",https://rukminim1.flixcart.com/image/612/612/kzblocw0/stencil/v/p/7/1-khs275-size-16-x-24-beautiful-reusable-wall-kayra-d-cor-original-imagbcrgpr4hyqug.jpeg?q=70,https://www.flipkart.com/kayra-dcor-floral-wall-design-stencils-painting-home-decoration-suitable-room-decor-ceiling-craft-floors-16-inch-x-24-inch-khs275-khs275-size-16-24-beautiful-reusable-stencil/p/itm8050015cb90cf?pid=SNLF6N93VYZHD8XV&lid=LSTSNLF6N93VYZHD8XVJ5CYCA&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.SNLF6N93VYZHD8XV.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,185,399,4.1,90,48,20,12,3,7,13 Reviews,https://www.flipkart.com/kayra-dcor-floral-wall-design-stencils-painting-home-decoration-suitable-room-decor-ceiling-craft-floors-16-inch-x-24-inch-khs275-khs275-size-16-24-beautiful-reusable-stencil/product-reviews/itm8050015cb90cf?pid=SNLF6N93VYZHD8XV&lid=LSTSNLF6N93VYZHD8XVJ5CYCA&marketplace=FLIPKART,"[""For (SIZE:16\"" x 24\"")Beautiful reusable Wall"",""Painting Home Decor Pattern"",""Mylar Material"",""W x H: 40.64 x 60.96 cm"",""Multicolor""]",Not available,Not available,Not available,Not available,Not available,Mylar,1 Piece of Stencil,Not available,Not available,Not available,Not available,Not available,Pack of 1,Painting Home Decor,All Types of Wall,Yes,40.64 cm,60.96 cm,16 X 24 Inches,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Vcreate Décor 58 cm Krishna Wall Sticker And Decal Self Adhesive Sticker  (Pack of 1),https://rukminim1.flixcart.com/image/612/612/ks4yz680/sticker/l/j/a/krishna-wall-sticker-and-decal-medium-58-vchms0770l-vcreate-d-original-imag5rtpqrexm5md.jpeg?q=70,https://www.flipkart.com/vcreate-dcor-58-cm-krishna-wall-sticker-decal-self-adhesive/p/itm6df725396eb3a?pid=STIG5RTPSYUKYERH&lid=LSTSTIG5RTPSYUKYERHBZVVMD&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.STIG5RTPSYUKYERH.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,195,699,3.9,155,82,31,9,14,19,10 Reviews,https://www.flipkart.com/vcreate-dcor-58-cm-krishna-wall-sticker-decal-self-adhesive/product-reviews/itm6df725396eb3a?pid=STIG5RTPSYUKYERH&lid=LSTSTIG5RTPSYUKYERHBZVVMD&marketplace=FLIPKART,"[""Color: Multicolor"",""Pack of 1"",""Size: 58 cm x 71 cm"",""Theme: Spiritual""]",Krishna Wall Sticker And Decal,VCHMS0770L,58 cm,Multicolor,Yes,Vinyl,Wall Sticker With Installation Manual,1,Wall Sticker,58 cm,71 cm,150 g,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Khatu Crafts Allah Key holder for home / office / kitchen / key holder for wall  (Brown),https://rukminim1.flixcart.com/image/612/612/xif0q/wall-decoration/3/x/a/allah-key-holder-for-home-office-kitchen-key-holder-for-wall-1-original-imagnqu7sg3srrcx.jpeg?q=70,https://www.flipkart.com/khatu-crafts-allah-key-holder-home-office-kitchen-wall/p/itmaf1ab2bf98620?pid=WDCGNQU7VUBAM59R&lid=LSTWDCGNQU7VUBAM59REFLENT&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=en_q1Q663ntt2kF9FyMf6Pj3ixBVUSjM1fpP3d2%2BFiIGOm8C3HZxpUOWzfYhPPvM4J4dkwrH8s%2FG%2FmmyYNMhFcZYQ%3D%3D&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,119,999,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Wall Hanging with Key holder"",""Made of Wood"",""Color: Brown"",""Best Suited for Wall Decor"",""Pack of 1""]",Not available,Not available,Not available,Not available,Not available,Wood,1,Not available,Not available,Not available,Not available,Not available,Pack of 1,Not available,Wall Decor,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Kayra Décor Swirl Floral Wall Design Stencils for Wall Painting for Home Wall Decoration Suitable for Room Decor, Ceiling and Craft (16 inch x 24 inch) (KHS341) KHS341 (SIZE:16"" x 24"")Beautiful reusable Wall Stencil  (Pack of 1, Painting Home Decor)",https://rukminim1.flixcart.com/image/612/612/kv6zvrk0/stencil/t/a/z/1-kd341-size-16-x-24-beautiful-reusable-wall-kayra-d-cor-original-imag85gayw9z6hzg.jpeg?q=70,https://www.flipkart.com/kayra-dcor-swirl-floral-wall-design-stencils-painting-home-decoration-suitable-room-decor-ceiling-craft-16-inch-x-24-inch-khs341-khs341-size-16-24-beautiful-reusable-stencil/p/itm4987ead07d778?pid=SNLF6N937JWXJHH3&lid=LSTSNLF6N937JWXJHH3Z0NIGD&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.SNLF6N937JWXJHH3.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,185,399,4.1,468,270,89,48,23,38,40 Reviews,https://www.flipkart.com/kayra-dcor-swirl-floral-wall-design-stencils-painting-home-decoration-suitable-room-decor-ceiling-craft-16-inch-x-24-inch-khs341-khs341-size-16-24-beautiful-reusable-stencil/product-reviews/itm4987ead07d778?pid=SNLF6N937JWXJHH3&lid=LSTSNLF6N937JWXJHH3Z0NIGD&marketplace=FLIPKART,"[""For (SIZE:16\"" x 24\"")Beautiful reusable Wall"",""Painting Home Decor Pattern"",""Mylar Material"",""W x H: 40.64 x 60.96 cm"",""Multicolor""]",Not available,Not available,Not available,Not available,Not available,Mylar,1 Piece of Stencil,Not available,Not available,Not available,Not available,Not available,Pack of 1,Painting Home Decor,All Types of Wall,Yes,40.64 cm,60.96 cm,16 X 24 Inches,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Sahaj Décor 100 cm Meet Cute 3D Pink Plum flower tree love Wall Stickers PVC Living room Bedroom Covering Area [125X100CM] Self Adhesive Sticker  (Pack of 1),https://rukminim1.flixcart.com/image/612/612/kxp0mfk0/sticker/j/w/p/medium-meet-cute-3d-pink-plum-flower-tree-love-wall-stickers-pvc-original-imaga392hv8prbsk.jpeg?q=70,https://www.flipkart.com/sahaj-dcor-100-cm-meet-cute-3d-pink-plum-flower-tree-love-wall-stickers-pvc-living-room-bedroom-covering-area-125x100cm-self-adhesive-sticker/p/itm8181a927024d5?pid=STIGA4AH6R6H79FT&lid=LSTSTIGA4AH6R6H79FTTEFMJD&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.STIGA4AH6R6H79FT.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,215,899,4.6,7,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Color: Multicolor"",""Pack of 1"",""Size: 125 cm x 100 cm"",""Theme: Floral & Botanical""]",Meet Cute 3D Pink Plum flower tree love Wall Stickers PVC Living room Bedroom Covering Area [125X100CM],RK567,100 cm,Multicolor,No,PVC Vinyl,One Wall Sticker,1,Wall Sticker,125 cm,100 cm,200 g,Not available,Not available,Not available,Not available,Not available,Not available,125X100CM,Other Art Form,Rajasthan,Rectangular,Home wall sticker kitchan sticker lioving room walllpaper,Multicolor,Yes,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Sahaj Décor 91 cm Flowers TV Background Branch LED LCD Living Area Decoration PVC Vinyl Extra Large Wall Stickers Full Waterproof Covering Area [67x78cm] Self Adhesive Sticker  (Pack of 1),https://rukminim1.flixcart.com/image/612/612/kxgfzbk0/sticker/g/6/n/medium-flowers-tv-background-branch-led-lcd-living-area-original-imag9wqbz5zqzxxk.jpeg?q=70,https://www.flipkart.com/sahaj-dcor-91-cm-flowers-tv-background-branch-led-lcd-living-area-decoration-pvc-vinyl-extra-large-wall-stickers-full-waterproof-covering-67x78cm-self-adhesive-sticker/p/itmbb29398e3d681?pid=STIG9WQQ3JNFHUGG&lid=LSTSTIG9WQQ3JNFHUGGYJY5AW&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.STIG9WQQ3JNFHUGG.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,193,899,4,9,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Color: Multicolor"",""Pack of 1"",""Size: 67 cm x 78 cm"",""Theme: Home""]",Flowers TV Background Branch LED LCD Living Area Decoration PVC Vinyl Extra Large Wall Stickers Full Waterproof Covering Area [67x78cm],RK445,91 cm,Multicolor,No,Pvc Vinyl,One Wall Sticker,1,Wall Sticker,67 cm,78 cm,200 g,Not available,Not available,Not available,Not available,Not available,Not available,67x78cm,Other Art Form,Rajasthan,Rectangular,Home wall sticker kitchan sticker lioving room walllpaper,Multicolor,Yes,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Artvibes Wooden Wall Hanging Decorative Items For Home Decoration|Festive Décor(WH_7216N)  (21 inch X 10.2 inch, Multi 6)",https://rukminim1.flixcart.com/image/612/612/xif0q/wall-decoration/h/u/v/wooden-wall-hanging-decorative-items-for-home-decoration-festive-original-imagg5g6xr28e3bx.jpeg?q=70,https://www.flipkart.com/artvibes-wooden-wall-hanging-decorative-items-home-decoration-festive-dcor-wh-7216n/p/itme167620dd07c9?pid=WDCGG5G6MWFPJZEZ&lid=LSTWDCGG5G6MWFPJZEZKXVT4C&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_q1Q663ntt2kF9FyMf6Pj3ixBVUSjM1fpP3d2%2BFiIGOnn%2BPprkEbl%2Fynenj4W5RTsUAVXUuGUMRegq%2FrgFrp78A%3D%3D&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,279,896,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Wall Hanging"",""Made of Wood"",""Color: Multi 6"",""Best Suited for Wall Decoration, Wall Artwork"",""Pack of 1""]",Not available,Not available,Not available,Not available,Not available,Wood,1 Wall Hanging,Not available,Not available,Not available,Not available,Not available,Pack of 1,Not available,"Wall Decoration, Wall Artwork",Not available,10.2 inch,21 inch,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Home Decor, Wall Decor",0.3 cm,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
KAMYA HOME DÉCOR 60 cm Pokemon's Dregos Fight Wall Sticker Self Adhesive Sticker  (Pack of 1),https://rukminim1.flixcart.com/image/612/612/k5zn9u80/sticker/j/b/g/pokemon-s-dregos-fight-wall-sticker-medium-60-dw-540-kamya-home-original-imafnryctbfqgzgh.jpeg?q=70,https://www.flipkart.com/kamya-home-dcor-60-cm-pokemon-s-dregos-fight-wall-sticker-self-adhesive/p/itm4331f0df2be2c?pid=STIFZGVV4SHEQJBG&lid=LSTSTIFZGVV4SHEQJBGGLFRVX&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.STIFZGVV4SHEQJBG.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,242,1099,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Color: Multicolor"",""Pack of 1"",""Size: 60 cm x 25 cm"",""Theme: Comics & Cartoons""]",Pokemon's Dregos Fight Wall Sticker,DW-540,60 cm,Multicolor,Not available,Self Adhesive vinyl paper,One Wall Sticker With Installation Manually,1,Wall Sticker,60 cm,25 cm,199 g,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Manually,Home and the place you like the most :),Not available,no,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Approach home décor 90 cm bhagwan3d krishna radha wall sticker 3d Self Adhesive Sticker  (Pack of 1),https://rukminim1.flixcart.com/image/612/612/kmns7m80/sticker/m/c/z/large-bhagwan3d-krishna-radha-wall-sticker-3d-90-gop-91-approach-original-imagfgq5sjvygjss.jpeg?q=70,https://www.flipkart.com/approach-home-dcor-90-cm-bhagwan3d-krishna-radha-wall-sticker-3d-self-adhesive/p/itme580760fc9a3f?pid=STIGFGQ6HUCZSFXS&lid=LSTSTIGFGQ6HUCZSFXSCGZZKF&marketplace=FLIPKART&q=Home+D%C3%A9cor&store=search.flipkart.com&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=0991e37b-aad0-4040-b66e-5114200cee40.STIGFGQ6HUCZSFXS.SEARCH&ppt=None&ppn=None&ssid=fu2bdiy4000000001680693251267&qH=ae9a4abe60d78797,250,599,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Color: Multicolor"",""Pack of 1"",""Size: 90 cm x 60 cm"",""Theme: Spiritual""]",bhagwan3d krishna radha wall sticker 3d,GOP-91,90 cm,Multicolor,Yes,vinyl,Not available,1,Wall Sticker,90 cm,60 cm,0.451 g,Not available,Not available,Not available,Not available,Not available,Not available,90x60,Not available,Rajasthan,rectangle,"hall, wall, bedroom, kitchen, office reception, cafeteria, living room, schools, bedroom, shops, kids room, lounge, café, restaurant",festival occasion,Not available,Yes,Not available,Not available,Not available,1 cm,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
