ProductName,imagelink,productlink,price,maxretailprice,stars,GlobalRatings,Country of Origin,reviewsLink,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,globalReviews,HighLights,Fragrance Classification,Ideal For,Quantity,Sales Package,Pack of,Brand,Model Name,Shade,Color,Organic,Waterproof,Finish,Form,Container Type,Professional Care,Multi Shaded,Skin Type,Series,Type,Other Traits,Weight,Maximum Shelf Life,Gift Pack,Fragrance Family,Ideal Usage,Limited Edition,Organic Type,Multi-shaded,Coverage,Composition,Skin Tone,Model Number,Foldable,Anti Perspirant,SPF Rating,Texture,Oil-free,Serum Type,Applied For,Hair Type,Hair Condition,Sulfate Free,SPF,Duration,Flavor,Other Features,Size
My Fragrance Unisex Luxury Premium Collection Of Perfume Gift Set of 2 Pack Eau de Parfum  -  60 ml  (For Men & Women),https://rukminim1.flixcart.com/image/612/612/xif0q/perfume/9/r/f/60-unisex-luxury-premium-collection-of-perfume-gift-set-of-2-original-imagz75kdtxsxvcf.jpeg?q=70,https://www.flipkart.com/my-fragrance-unisex-luxury-premium-collection-perfume-gift-set-2-pack-eau-de-parfum-60-ml/p/itmef9ebea16c727?pid=PERGZ75HX5UNDRBE&lid=LSTPERGZ75HX5UNDRBERWFAOD&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=b6a46bd4-12b6-4ee1-9d42-fd33af4b462c.PERGZ75HX5UNDRBE.SEARCH&ppt=None&ppn=None&ssid=ucbjpyvrm80000001680694839503&qH=a9d908f637866fb8,349,649,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Quantity: 60 ml"",""Ideal For: Men & Women"",""Fragrance Classification: Eau de Parfum"",""Fragrance Family: Fresh"",""Fragrance Segment: Luxury""]",Eau de Parfum,Men & Women,60 ml,Perfume gift set pack 02,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Aura Divine Royal Rose Oudh Aromatic, Floral| Long Lasting Fragrance|Sexy Rose & Woody Scent Eau de Parfum  -  100 ml  (For Men & Women)",https://rukminim1.flixcart.com/image/612/612/xif0q/perfume/v/i/a/100-edp-long-lasting-unique-soulful-royal-rose-oudh-unisex-original-imagz3kz2gvphenv.jpeg?q=70,https://www.flipkart.com/aura-divine-royal-rose-oudh-aromatic-floral-long-lasting-fragrance-sexy-woody-scent-eau-de-parfum-100-ml/p/itm166cc016f5d23?pid=PERGZ8V9MQAFAM5Q&lid=LSTPERGZ8V9MQAFAM5Q6USHX1&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=b6a46bd4-12b6-4ee1-9d42-fd33af4b462c.PERGZ8V9MQAFAM5Q.SEARCH&ppt=None&ppn=None&ssid=ucbjpyvrm80000001680694839503&qH=a9d908f637866fb8,599,3999,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Quantity: 100 ml"",""Ideal For: Men & Women"",""Fragrance Classification: Eau de Parfum"",""Fragrance Family: Floral, Woody"",""Fragrance Segment: Luxury"",""Base Note: Red Rose, Black Oudh, Amber"",""Heart Note: Pink Rose, Musk, Sandalwood"",""Top Note: Fresh Fruits, Spice""]",Eau de Parfum,Men & Women,100 ml,100 ML Perfume Bottle Royal Rose Oudh (1 Unit),Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"HVNLY Wicked Leathery Perfume Dark woods & Musk for Men, Gift for Him, 30 ml Eau de Parfum  -  30 ml  (For Men)",https://rukminim1.flixcart.com/image/612/612/xif0q/perfume/7/f/q/30-wicked-leathery-perfume-dark-woods-musk-for-men-gift-for-him-original-imagz8ydcwgy2pgv.jpeg?q=70,https://www.flipkart.com/hvnly-wicked-leathery-perfume-dark-woods-musk-men-gift-him-30-ml-eau-de-parfum/p/itm397a160b7342a?pid=PERGZ8YDAGUDPBHF&lid=LSTPERGZ8YDAGUDPBHFEJPULJ&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=b6a46bd4-12b6-4ee1-9d42-fd33af4b462c.PERGZ8YDAGUDPBHF.SEARCH&ppt=None&ppn=None&ssid=ucbjpyvrm80000001680694839503&qH=a9d908f637866fb8,190,475,Not available,Not available,India,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Quantity: 30 ml"",""Ideal For: Men"",""Fragrance Classification: Eau de Parfum"",""Fragrance Family: Fresh, Floral"",""Fragrance Segment: Luxury"",""Base Note: Dark Woods, Amber, and Musk"",""Heart Note: Leather, Spices, Incense"",""Top Note: Orange Blossom, Bergamot, and Lemon""]",Eau de Parfum,Men,30 ml,"1,Wicked Leathery Perfume Dark woods & Musk for Men, Gift for Him, 30 ml",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
UPSILON Long-Lasting Pocket Perfumes for Men’s Eau de Parfum Eau de Parfum  -  24 ml  (For Men),https://rukminim1.flixcart.com/image/612/612/xif0q/perfume/e/h/e/24-long-lasting-pocket-perfumes-for-men-s-eau-de-parfum-eau-de-original-imagkqg6jezncafz.jpeg?q=70,https://www.flipkart.com/upsilon-long-lasting-pocket-perfumes-mens-eau-de-parfum-24-ml/p/itmb4b943e2d0056?pid=PERGKQG6ZJVH9J9H&lid=LSTPERGKQG6ZJVH9J9HULZQRW&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=en_qac4CU6A8AQCCy9sWWJTO0vV5UPGaA2cM5KMni%2BjOyC3c6fH7CbfrbysuCYDgIJJLjjXnThrxDY5ZlqNtAI2YQ%3D%3D&ppt=None&ppn=None&ssid=ucbjpyvrm80000001680694839503&qH=a9d908f637866fb8,769,799,4.2,176,Not available,https://www.flipkart.com/upsilon-long-lasting-pocket-perfumes-mens-eau-de-parfum-24-ml/product-reviews/itmb4b943e2d0056?pid=PERGKQG6ZJVH9J9H&lid=LSTPERGKQG6ZJVH9J9HULZQRW&marketplace=FLIPKART,100,40,14,11,11,14 Reviews,"[""Quantity: 24 ml"",""Ideal For: Men"",""Fragrance Classification: Eau de Parfum"",""Fragrance Family: Woody"",""Fragrance Segment: Entry""]",Eau de Parfum,Men,24 ml,1,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"HVNLY Blossom Premium Long Lasting Floral and Fruity Perfume for Women, 30ml Eau de Parfum  -  30 ml  (For Women)",https://rukminim1.flixcart.com/image/612/612/xif0q/perfume/d/r/e/30-blossom-premium-long-lasting-floral-and-fruity-perfume-for-original-imagz8y5qkn8hqfa.jpeg?q=70,https://www.flipkart.com/hvnly-blossom-premium-long-lasting-floral-fruity-perfume-women-30ml-eau-de-parfum-30-ml/p/itm9657f680d1d98?pid=PERGZ8Y5F5WJ4JJH&lid=LSTPERGZ8Y5F5WJ4JJHXJ4NRK&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=b6a46bd4-12b6-4ee1-9d42-fd33af4b462c.PERGZ8Y5F5WJ4JJH.SEARCH&ppt=None&ppn=None&ssid=ucbjpyvrm80000001680694839503&qH=a9d908f637866fb8,349,475,Not available,Not available,India,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Quantity: 30 ml"",""Ideal For: Women"",""Fragrance Classification: Eau de Parfum"",""Fragrance Family: Fresh, Floral"",""Fragrance Segment: Luxury"",""Base Note: Patchouli, Musk, Oak Moss"",""Heart Note: White Floral, Rose"",""Top Note: Bergamot, Pink Peppercorn, Blackcurrant""]",Eau de Parfum,Women,30 ml,"1,Blossom Premium Long Lasting Floral and Fruity Perfume for Women, 30ml",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
JUST CALL ME MAXI Perfume 3 Pc Eau de Parfum  -  300 ml  (For Men & Women),https://rukminim1.flixcart.com/image/612/612/xif0q/perfume/e/v/u/300-perfume-3-pc-na-eau-de-parfum-just-call-me-maxi-men-women-original-imagz9cmpupmgduh.jpeg?q=70,https://www.flipkart.com/just-call-me-maxi-perfume-3-pc-eau-de-parfum-300-ml/p/itm361a48697a863?pid=PERGZ9CM24YYNHH3&lid=LSTPERGZ9CM24YYNHH3DPFZ8F&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=b6a46bd4-12b6-4ee1-9d42-fd33af4b462c.PERGZ9CM24YYNHH3.SEARCH&ppt=None&ppn=None&ssid=ucbjpyvrm80000001680694839503&qH=a9d908f637866fb8,2499,3999,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Quantity: 300 ml"",""Ideal For: Men & Women"",""Fragrance Classification: Eau de Parfum"",""Fragrance Family: Oriental"",""Fragrance Segment: Luxury"",""Base Note: Ylang-Ylang, Jasmine and Honeysuckle"",""Heart Note: Ylang-Ylang, Jasmine and Honeysuckle"",""Top Note: Galbanum and Aldehydes""]",Eau de Parfum,Men & Women,300 ml,3,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aorta Nasw50ml Perfume  -  50 ml  (For Men & Women),https://rukminim1.flixcart.com/image/612/612/xif0q/perfume/t/i/z/50-nasw50ml-na-perfume-aorta-men-women-original-imagz5zhb8y4sbeu.jpeg?q=70,https://www.flipkart.com/aorta-nasw50ml-perfume-50-ml/p/itma038ab07cc5a0?pid=PERGZ5ZH5WFDXMWA&lid=LSTPERGZ5ZH5WFDXMWA2JU00F&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=b6a46bd4-12b6-4ee1-9d42-fd33af4b462c.PERGZ5ZH5WFDXMWA.SEARCH&ppt=None&ppn=None&ssid=ucbjpyvrm80000001680694839503&qH=a9d908f637866fb8,699,1199,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Quantity: 50 ml"",""Ideal For: Men & Women"",""Fragrance Classification: Perfume"",""Fragrance Family: Fresh"",""Fragrance Segment: Luxury"",""Base Note: Amber, Sandal"",""Heart Note: Jasmine, Orange"",""Top Note: Bergamot, Neroli""]",Perfume,Men & Women,50 ml,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
UPSILON Wild Blue Eau De Parfum with Combo of Long-Lasting Pocket Perfumes for Men’s Eau de Parfum  -  124 ml  (For Men),https://rukminim1.flixcart.com/image/612/612/xif0q/perfume/p/a/n/124-wild-blue-eau-de-parfum-with-combo-of-long-lasting-pocket-original-imaghqck6r8xzghr.jpeg?q=70,https://www.flipkart.com/upsilon-wild-blue-eau-de-parfum-combo-long-lasting-pocket-perfumes-mens-124-ml/p/itm7659e0a8bdf0a?pid=PERGHQCK4B3CCJFG&lid=LSTPERGHQCK4B3CCJFGRZNLTY&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_qac4CU6A8AQCCy9sWWJTO0vV5UPGaA2cM5KMni%2BjOyCh0LxFF9oRBwME6YDC4O9PT0GCx2GVsVNftRrubudRBg%3D%3D&ppt=None&ppn=None&ssid=ucbjpyvrm80000001680694839503&qH=a9d908f637866fb8,1849,2398,4,4,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Quantity: 124 ml"",""Ideal For: Men"",""Fragrance Classification: Eau de Parfum"",""Fragrance Family: Fresh"",""Fragrance Segment: Luxury""]",Eau de Parfum,Men,124 ml,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Aorta Na01 Perfume  -  50 ml  (For Men & Women),https://rukminim1.flixcart.com/image/612/612/xif0q/perfume/v/s/d/50-na01-na-perfume-aorta-men-women-original-imagz462xdwheczz.jpeg?q=70,https://www.flipkart.com/aorta-na01-perfume-50-ml/p/itm54f6f826342f6?pid=PERGZ4635REZEGFG&lid=LSTPERGZ4635REZEGFGVLGT9K&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=b6a46bd4-12b6-4ee1-9d42-fd33af4b462c.PERGZ4635REZEGFG.SEARCH&ppt=None&ppn=None&ssid=ucbjpyvrm80000001680694839503&qH=a9d908f637866fb8,699,1199,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Quantity: 50 ml"",""Ideal For: Men & Women"",""Fragrance Classification: Perfume"",""Fragrance Family: Floral"",""Fragrance Segment: Luxury"",""Base Note: Sandal, Amaris"",""Heart Note: Cardamom, Firangi pan"",""Top Note: Lavender, Anise""]",Perfume,Men & Women,50 ml,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Luxury Beauty Makeup Caiji 18 Colors Pigmented New Nude Eyeshadow Palette Matte Eyeshadow Makeup Pallet Warm Color Neutrals Long Lasting Shimmer Cosmetics 15 ml  (Purple, Pink)",https://rukminim1.flixcart.com/image/612/612/kk2wl8w0/eye-shadow/n/c/2/15-makeup-caiji-18-colors-pigmented-new-nude-eyeshadow-palette-original-imafzgbgy7wgumn5.jpeg?q=70,https://www.flipkart.com/luxury-beauty-makeup-caiji-18-colors-pigmented-new-nude-eyeshadow-palette-matte-pallet-warm-color-neutrals-long-lasting-shimmer-cosmetics-15-ml/p/itm31dcc7cb09a8a?pid=ESDFZGBGZJ5H86EZ&lid=LSTESDFZGBGZJ5H86EZ4XPXAY&marketplace=FLIPKART&q=Luxury+Beauty&store=search.flipkart.com&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=b6a46bd4-12b6-4ee1-9d42-fd33af4b462c.ESDFZGBGZJ5H86EZ.SEARCH&ppt=None&ppn=None&ssid=ucbjpyvrm80000001680694839503&qH=a9d908f637866fb8,1195,3590,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"[""Color: Multicolor"",""Quantity: 15 ml"",""Suitable For: All Skin Types Skin"",""Form: Compressed Powder""]",Not available,Not available,15 ml,pack of 2 palettes( combo),2,Luxury Beauty,Makeup Caiji 18 Colors Pigmented New Nude Eyeshadow Palette Matte Eyeshadow Makeup Pallet Warm Color Neutrals Long Lasting Shimmer Cosmetics,"Purple, Pink",Multicolor,No,Yes,Matte,Compressed Powder,Palette Case,Yes,Yes,All Skin Types,professional,eyeshadow palette,"matte finish, glitter finish, shimmer finish",240 g,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
