ProductName,image,link,price,maxretailprice,stars,GlobalRatings,Best Sellers Rank,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,reviewsLink,packageSize,Brand,Item Form,Scent,Special Feature,Material Feature,Number of Items,Net Quantity,Item Volume,Use for,Product Dimensions,Date First Available,Manufacturer,ASIN,Item model number,Country of Origin,Packer,Item Weight,Item Dimensions LxWxH,Included Components,Generic Name,Material Type Free,Is Discontinued By Manufacturer,Importer,Package Dimensions,Item part number
"Yardley London Refreshing Deo Body Spray Tripack (English Lavender + English Rose + Morning Dew) for Women, 150ml Each (Pack of 3)",https://m.media-amazon.com/images/I/61zH3DMLWAL._AC_UL320_.jpg,https://amazon.in/Yardley-London-Deo-Tripack-Lavender/dp/B07PBTRBRZ/ref=sr_1_1?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-1,391,675,4.2,"5,740",  #649 in Beauty     #25 in Deodorant       #25 in Deodorant,55%,24%,11%,4%,6%,https://amazon.in/Yardley-London-Deo-Tripack-Lavender/product-reviews/B07PBTRBRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Yardley,Spray,English Lavender/English Rose/Morning Dew,All Day Protection,Natural,3,3 count,450 Millilitres,Whole Body,14.5 x 5.5 x 21 cm; 420 Grams,4 March 2019,"Wipro Enterprises (P) Ltd, Wipro Enterprises Pvt Ltd, ‘C’ Block, CCLG Division, Doddakannelli, Sarjapur Road, Bangalore – 560 035",B07PBTRBRZ,8903105030762,India,"Wipro Enterprises Pvt Ltd, ‘C’ Block, CCLG Division, Doddakannelli, Sarjapur Road, Bangalore – 560 035",420 g,14.5 x 5.5 x 21 Centimeters,Deodrant,Deo Tripack,Not available,Not available,Not available,Not available,Not available
Park Avenue Original Deodorant Set For Men 150ml Each (Combo Of 3),https://m.media-amazon.com/images/I/817tF0q5+ML._AC_UL320_.jpg,https://amazon.in/Park-Avenue-Classic-150ml-Morning/dp/B075MGGBL1/ref=sr_1_2?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-2,298.,399,4.1,"12,101",  #228 in Beauty     #8 in Deodorant       #8 in Deodorant,52%,24%,13%,4%,7%,https://amazon.in/Park-Avenue-Classic-150ml-Morning/product-reviews/B075MGGBL1/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Park Avenue,Spray,Cool Rush,Not available,Long Lasting Fragrance,1,450.0 millilitre,450 Millilitres,Not available,162 x 53 x 150 cm; 449 Grams,14 September 2017,"Suhan Aerosol, Suhan Aerosol, J / 1 – 8, Radheyshyam Industrial Complex, Village Asangaon (W), Tal. Shahapur, Thane-421 601, Maharashtra; Email: suhan.aerosol@gmail.com",B075MGGBL1,PABDR100007,India,"Suhan Aerosol, J / 1 – 8, Radheyshyam Industrial Complex, Village Asangaon (W), Tal. Shahapur, Thane-421 601, Maharashtra; Email: suhan.aerosol@gmail.com",449 g,162 x 53 x 150 Centimeters,B2G1 (CB + S + GM),Deodorant,Alcohol Free,No,Not available,Not available,Not available
"He Advanced Grooming Respect Perfumed Body Spray, 150ml",https://m.media-amazon.com/images/I/41nbSIMAd1L._AC_UL320_.jpg,https://amazon.in/Advanced-Grooming-Respect-Perfumed-Spray/dp/B00YXYXFUQ/ref=sr_1_3?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-3,99,199,3.9,"6,971",  #136 in Beauty     #5 in Deodorant       #5 in Deodorant,44%,23%,17%,7%,9%,https://amazon.in/Advanced-Grooming-Respect-Perfumed-Spray/product-reviews/B00YXYXFUQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,HE,Spray,Fresh,"Long Lasting, No Gas",Not available,Not available,150.0 millilitre,150 Millilitres,Not available,17 x 4.3 x 4.3 cm; 150 Grams,5 June 2015,"Emami Limited, Rubicon Formulations Pvt. Ltd. - M-162 & 163, M. I. D. C., Waluj,  Aurangabad – 431 136, Maharashtra M.L No: M-AD/C/009; CONTACT DETAILS - 02229201459, 02229254657, simon@rubiconindia.com",B00YXYXFUQ,8901248268165,India,"Rubicon Formulations Pvt. Ltd. - M-162 & 163, M. I. D. C., Waluj,  Aurangabad – 431 136, Maharashtra M.L No: M-AD/C/009; CONTACT DETAILS - 02229201459, 02229254657, simon@rubiconindia.com",150 g,17 x 4.3 x 4.3 Centimeters,1U deo,deo,Not available,No,Not available,Not available,Not available
"SET WET Deodorant Spray Perfume Cool, Charm & Swag Avatar for men, 150ml (Pack of 3)",https://m.media-amazon.com/images/I/71Evo57slzL._AC_UL320_.jpg,https://amazon.in/Set-Wet-Deodorant-Perfume-Avatar/dp/B079Q17WXZ/ref=sr_1_4?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-4,274,660,4.0,"30,814",  #129 in Beauty     #4 in Deodorant       #4 in Deodorant,50%,23%,14%,5%,7%,https://amazon.in/Set-Wet-Deodorant-Perfume-Avatar/product-reviews/B079Q17WXZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Set Wet,Spray,Fresh,Not available,Not available,3,450 count,450 Millilitres,Not available,15.1 x 5.1 x 19.2 cm; 297 Grams,31 December 2017,"Marico Ltd C/O - Accra Pac (India) Pvt.Ltd,M/s Rubicon Formulations Pvt Ltd, MANUFACTURED IN INDIA BY: See first letter of Batch No. (A) Accra Pac (India) Pvt.Ltd., Plot No.: 1105, Phase-III,G. I. D. C, Vapi 396195, Gujarat. M GC / 514, St. Ex. Lic. No.: 18. (E) M/s Rubicon Formulations Pvt Ltd. Plot No.: M-162 & 163, MIDC, Waluj, Aurangabad - 431136, Maharashtra. M AD/C/009, , St. Ex. Lic. No.: 9.; Phone: 022 6648 0480",B079Q17WXZ,712597,India,"MANUFACTURED IN INDIA BY: See first letter of Batch No. (A) Accra Pac (India) Pvt.Ltd., Plot No.: 1105, Phase-III,G. I. D. C, Vapi 396195, Gujarat. M GC / 514, St. Ex. Lic. No.: 18. (E) M/s Rubicon Formulations Pvt Ltd. Plot No.: M-162 & 163, MIDC, Waluj, Aurangabad - 431136, Maharashtra. M AD/C/009, , St. Ex. Lic. No.: 9.; Phone: 022 6648 0480",297 g,15.1 x 5.1 x 19.2 Centimeters,2,Not available,Not available,No,Not available,Not available,Not available
"Fogg Marco Perfume Body Spray, Long Lasting No Gas Deodorant for Men, 150ml (Pack of 3)",https://m.media-amazon.com/images/I/71pWR3+c4nL._AC_UL320_.jpg,https://amazon.in/Marco-Perfume-Lasting-Everyday-Deodorant/dp/B0B2L9L6XP/ref=sr_1_5?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-5,433.,825,4.0,"21,151",  #149 in Beauty     #6 in Deodorant       #6 in Deodorant,50%,25%,13%,5%,8%,https://amazon.in/Marco-Perfume-Lasting-Everyday-Deodorant/product-reviews/B0B2L9L6XP/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,FOGG,Aerosol,Fresh,Not available,Not available,3,375.0 gram,150 Millilitres,Whole Body,14 x 6 x 14 cm; 99 Grams,28 May 2022,"Helios packing pvt ltd, Helios Packaging pvt ltd A-140,E.P.I.P Industrial Area,Neemrana,District-Alwar,Rajasthan=301705",B0B2L9L6XP,Impressio,India,"Helios Packaging pvt ltd A-140,E.P.I.P Industrial Area,Neemrana,District-Alwar,Rajasthan=301705",99 g,14 x 6 x 14 Centimeters,Not available,SCENT,No Gas,Not available,Not available,Not available,Not available
"SET WET Deodorant Spray Perfume Cool, Charm & Mischief Avatar for men, 150ml (Pack of 3)",https://m.media-amazon.com/images/I/71pCyCh8ubL._AC_UL320_.jpg,https://amazon.in/Set-Wet-Deodorant-Perfume-Mischief/dp/B079QBB5YT/ref=sr_1_6?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-6,264,660,4.0,"11,374",  #273 in Beauty     #12 in Deodorant       #12 in Deodorant,51%,23%,14%,5%,7%,https://amazon.in/Set-Wet-Deodorant-Perfume-Mischief/product-reviews/B079QBB5YT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Set Wet,Spray,"Lavender, Mint",Not available,Not available,3,450.0 millilitre,450 Millilitres,Not available,15.1 x 5.1 x 19.2 cm; 297 Grams,31 December 2017,"Marico Ltd C/O - Accra Pac (India) Pvt.Ltd,M/s Rubicon Formulations Pvt Ltd, MANUFACTURED IN INDIA BY: See first letter of Batch No. (A) Accra Pac (India) Pvt.Ltd., Plot No.: 1105, Phase-III,G. I. D. C, Vapi 396195, Gujarat. M GC / 514, St. Ex. Lic. No.: 18. (E) M/s Rubicon Formulations Pvt Ltd. Plot No.: M-162 & 163, MIDC, Waluj, Aurangabad - 431136, Maharashtra. M AD/C/009, , St. Ex. Lic. No.: 9.; Phone: 022 6648 0480",B079QBB5YT,712519,India,"MANUFACTURED IN INDIA BY: See first letter of Batch No. (A) Accra Pac (India) Pvt.Ltd., Plot No.: 1105, Phase-III,G. I. D. C, Vapi 396195, Gujarat. M GC / 514, St. Ex. Lic. No.: 18. (E) M/s Rubicon Formulations Pvt Ltd. Plot No.: M-162 & 163, MIDC, Waluj, Aurangabad - 431136, Maharashtra. M AD/C/009, , St. Ex. Lic. No.: 9.; Phone: 022 6648 0480",297 g,15.1 x 5.1 x 19.2 Centimeters,2,Not available,Not available,Not available,Not available,Not available,Not available
"Brut Deodorant Spray for Men | Original | Fresh & Authentic Fragrance | Long Lasting Deo, 2x200 ml",https://m.media-amazon.com/images/I/51KJ-aprEpL._AC_UL320_.jpg,https://amazon.in/BRUT-Original-Deodorant-200ml-Pack/dp/B08CDP1NDM/ref=sr_1_7?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-7,325,650,3.9,"5,457",Not available,48%,22%,13%,6%,11%,https://amazon.in/BRUT-Original-Deodorant-200ml-Pack/product-reviews/B08CDP1NDM?reviewerType=all_reviews,Not available,Brut,Spray,"Fresh, Lavender",Not available,Not available,2,400.0 millilitre,400 Millilitres,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Yardley London Morning Dew Refreshing Deodorant Body Spray For Women, 150ml",https://m.media-amazon.com/images/I/51SCB0x0LzL._AC_UL320_.jpg,https://amazon.in/Yardley-London-Morning-Refreshing-Women/dp/B00G4UBJLO/ref=sr_1_8?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-8,164,225,4.1,"14,211",  #389 in Beauty     #14 in Deodorant       #14 in Deodorant,53%,25%,12%,4%,6%,https://amazon.in/Yardley-London-Morning-Refreshing-Women/product-reviews/B00G4UBJLO/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Yardley,Spray,Morning Dew,Not available,Not available,1,150.0 millilitre,150 Millilitres,Not available,4.5 x 4.5 x 19.2 cm; 150 Grams,1 January 2017,"Wipro Enterprises (P) Ltd, Wipro Enterprises Pvt Ltd, ‘C’ Block, CCLG Division, Doddakannelli, Sarjapur Road, Bangalore – 560 035",B00G4UBJLO,8903105000376,India,"Wipro Enterprises Pvt Ltd, ‘C’ Block, CCLG Division, Doddakannelli, Sarjapur Road, Bangalore – 560 035",150 g,45 x 45 x 192 Millimeters,Deodrant,Deo Body Spray,Not available,No,Not available,Not available,Not available
"Nivea Fresh Active Original Deodorant for Men, 150ml",https://m.media-amazon.com/images/I/41LhTwHvEvL._AC_UL320_.jpg,https://amazon.in/Nivea-Fresh-Active-Original-Deodorant/dp/B00HT03SJY/ref=sr_1_9?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-9,142,199,4.0,"28,015",  #174 in Beauty     #7 in Deodorant       #7 in Deodorant,48%,27%,14%,5%,7%,https://amazon.in/Nivea-Fresh-Active-Original-Deodorant/product-reviews/B00HT03SJY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Nivea,Spray,Fresh,Not available,Not available,1,1 count,150 Millilitres,Not available,4.5 x 4.5 x 16.8 cm; 150 Grams,1 January 2017,"Nivea, SAI CORPORATION, Khasra No.353/196/186/1-2, Village Johron, Trillokpur Road, Kala Amb, Dist. Sirmour-173030 (H.P); Phone: 022 6248 7999",B00HT03SJY,4005900017512,India,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",150 g,45 x 45 x 168 Millimeters,Dedoarnt Male,Deodorant,Not available,No,"Nivea India Pvt. Ltd., 4th Floor, A Wing, Art Guild House, Phoenix Market City, Kurla West, Mumbai, Maharashtra 400070; Phone: 022 6248 7999",Not available,Not available
"Yardley London Gentleman Classic Deodorant Body Spray For Men, 150ml",https://m.media-amazon.com/images/I/616wa-S8P1L._AC_UL320_.jpg,https://amazon.in/Yardley-London-Gentleman-Classic-150ml/dp/B001FORK1C/ref=sr_1_10?keywords=Deodorants&qid=1681588156&sprefix=suncream%2Caps%2C303&sr=8-10,150,225,4.0,"7,552",  #483 in Beauty     #19 in Deodorant       #19 in Deodorant,46%,26%,14%,6%,8%,https://amazon.in/Yardley-London-Gentleman-Classic-150ml/product-reviews/B001FORK1C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Yardley,Spray,Classic,Not available,Not available,1,150.0 millilitre,150 Millilitres,Not available,15.24 x 12.7 x 10.16 cm; 150.25 Grams,1 January 2017,"Yardley, Wipro Enterprises Pvt Ltd, ‘C’ Block, CCLG Division, Doddakannelli, Sarjapur Road, Bangalore – 560 035",B001FORK1C,15685-78-G-1,India,"Wipro Enterprises Pvt Ltd, ‘C’ Block, CCLG Division, Doddakannelli, Sarjapur Road, Bangalore – 560 035",150 g,15.2 x 12.7 x 10.2 Centimeters,Deodrant,Not available,Not available,No,Not available,Not available,Not available
