imagelink,productlink,ProductName,Brand,price,maxretailprice,stars,Ratings,Reviews,Mother Category,Category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,Platform,Quantity
https://m.media-amazon.com/images/I/41VH+kTbEgL._AC_UL400_.jpg,https://amazon.in/RENEE-Eau-Parfum-Bloom-8ml/dp/B0B5N8MTPN/ref=sr_1_1?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-1,RENEE Eau De Parfum Bloom 8ml| Premium Long Lasting Luxury Perfume| Notes of Almond| Scent for All Occasions| Travel Friendly,RENEE,149,199,4.0,4471,471,Beauty,Perfume,2369,849,536,268,402,Amazon,8.0 millilitre
https://m.media-amazon.com/images/I/61W+8YKi2kL._AC_UL400_.jpg,https://amazon.in/Bella-Vita-Organic-Perfumes-Fragrance/dp/B09231NL5H/ref=sr_1_2?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-2,Bella Vita Luxury Man Perfume Gift Set for Men 4x20 ml Perfumes Luxury Scent with Long Lasting Fragrance,Bella Vita Organic,595,849,4.0,10827,827,Beauty,FragranceSets,5413,2381,1299,649,1082,Amazon,80 millilitre
https://m.media-amazon.com/images/I/61Lf31rBHiL._AC_UL400_.jpg,https://amazon.in/Bella-Vita-Organic-Perfumes-Fragrance/dp/B09232XNTX/ref=sr_1_3?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-3,Bella Vita Luxury Women's Perfume Gift Set 4x20 ML | Luxury Scent with Long Lasting Fragrance Eau De Parfum | CEO Woman | Honey Oud | Glam | Rose 80 ML,Bella Vita Organic,594,849,4.2,6069,069,Beauty,FragranceSets,3580,1335,546,182,424,Amazon,60 millilitre
https://m.media-amazon.com/images/I/61LL68H0ymL._AC_UL400_.jpg,https://amazon.in/Villain-Eau-Parfum-Perfume-men/dp/B08GFM1X1Y/ref=sr_1_4?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-4,Villain Perfume For Men 100 Ml - Eau De Parfum - Premium Long Lasting Fragrance Spray - Woody & Spicy,VILLAIN,549,799,3.8,21317,317,Beauty,EaudeParfum,10018,4476,2771,1279,2771,Amazon,100 millilitre
https://m.media-amazon.com/images/I/510kq0tXAzL._AC_UL400_.jpg,https://amazon.in/Wild-Stone-Ultra-Sensual-Perfume/dp/B08TGY698Y/ref=sr_1_5?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-5,"Wild Stone Ultra Sensual Perfume Spray for Men, 100ml, A Sensory Treat for Casual Encounters, Aromatic Blend of Masculine Fragrances",Wild Stone,359,599,4.1,16873,873,Beauty,Perfume,8605,4049,2024,843,1181,Amazon,100 millilitre
https://m.media-amazon.com/images/I/8133ytF6s8L._AC_UL400_.jpg,https://amazon.in/UPSILON-Shooting-Powerful-Fragrance-Friendly/dp/B0BDZPPY45/ref=sr_1_6?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-6,UPSILON Shooting Star Eau De Parfum Premium Long Lasting Fresh & Powerful Fragrance Spray Travel Friendly Luxury Parfum Scent | Mens Perfume |100ml - Pack Of 1,UPSILON,"1,399","1,599",4.4,468,292,Beauty,EaudeParfum,336,51,28,18,28,Amazon,100.0 millilitre
https://m.media-amazon.com/images/I/61yHSJE-cZL._AC_UL400_.jpg,https://amazon.in/Bella-Vita-Organic-Fragrance-PATCHOULI/dp/B09XLK9GVS/ref=sr_1_7?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-7,Bella Vita Luxury Unisex Luxury Perfume Gift Set 4x20 ML For Men & Women | Luxury Scent with Long Lasting Fragrance Eau De Parfum | SKAI | FRESH | WHITEOUD | PATCHOULI,Bella Vita Organic,594,849,4.2,3950,950,Beauty,EaudeParfum,2291,869,395,158,276,Amazon,80.0 millilitre
https://m.media-amazon.com/images/I/81M9ZNu2IiL._AC_UL400_.jpg,https://amazon.in/Fogg-Impressio-Scent-Men-100ml/dp/B016BVZCEK/ref=sr_1_8?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-8,"Fogg Long-Lasting Fresh & Soothing Fragrance Impressio Scent For Men, Eau De Parfum, 100ml",FOGG,390,500,4.0,15039,039,Beauty,EaudeParfum,7369,3759,1955,751,1203,Amazon,100.0 millilitre
https://m.media-amazon.com/images/I/614GA7ARZxL._AC_UL400_.jpg,https://amazon.in/Park-Avenue-Voyage-Amazon-Perfume/dp/B084V46KGT/ref=sr_1_9?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-9,"Park Avenue Voyage Amazon Woods Perfume, 120ml",Park Avenue,228,299,4.0,359,37,Beauty,Perfume,183,86,43,14,32,Amazon,120.0 millilitre
https://m.media-amazon.com/images/I/51U6KZazgcL._AC_UL400_.jpg,https://amazon.in/DJOKR-Signature-Perfume-Premium-Fragrance/dp/B0BPY5Z6WF/ref=sr_1_10?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-10,DJOKR Signature Perfume For Men 100 ml | Eau De Parfum | Premium Luxury Long Lasting Fragrance Spray,DJOKR,499,650,4.4,1026,026,Beauty,EaudeParfum,687,194,61,20,61,Amazon,100.0 millilitre
https://m.media-amazon.com/images/I/71GkGHg3KnL._AC_UL400_.jpg,https://amazon.in/Man-Company-Black-EDT-India/dp/B08BLKW619/ref=sr_1_11?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-11,"The Man Company Black EDT Perfume For Men - 50ml | Premium Long Lasting Fragrance Spray | Gift for Husband, Boyfriend",Not available,428,"1,299",3.8,8853,853,Not available,Not available,4160,1682,1239,619,1150,Amazon,Not available
https://m.media-amazon.com/images/I/61ncAzKkTGL._AC_UL400_.jpg,https://amazon.in/Beardo-Whisky-Perfume-PARFUM-Lasting/dp/B096XV4HR4/ref=sr_1_12?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-12,"Beardo Whisky Smoke Eau De Parfum Men Spicy, Woody - Oudh Perfume For Men Long Lasting, Date Night Fragrance Body Spray For Men, 100ml",BEARDO,549,"1,200",4.0,9325,325,Beauty,Perfume,4755,2144,1119,466,839,Amazon,100.0 millilitre
https://m.media-amazon.com/images/I/618wYK9lf-L._AC_UL400_.jpg,https://amazon.in/Bella-Vita-Perfumes-Fragrance-Lasting/dp/B0BR3XCDYZ/ref=sr_1_13?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-13,"Bella Vita Luxury Trial Pack of 10 x 5ml Pocket Perfumes for Men Women Unisex Fragrance Mix of EDP, EDT & EDC Long Lasting Perfume Sweet, Floral, Woody, Musky & Spicy",Bella Vita Organic,349,349,4.3,609,221,Beauty,EaudeParfum,395,109,48,18,42,Amazon,50.0 millilitre
https://m.media-amazon.com/images/I/712bge4Vs-L._AC_UL400_.jpg,https://amazon.in/Park-Avenue-Premium-Perfume-Regal/dp/B00PS8DUJW/ref=sr_1_14?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-14,Park Avenue Regal NO GAS Premium Perfume For Men Long Lasting Fragrance 130ml,Park Avenue,182,280,4.0,8868,868,Beauty,Perfume,4345,2039,1152,532,886,Amazon,150.0 millilitre
https://m.media-amazon.com/images/I/71pCyCh8ubL._AC_UL400_.jpg,https://amazon.in/Set-Wet-Deodorant-Perfume-Mischief/dp/B079QBB5YT/ref=sr_1_15?keywords=Perfumes&qid=1682068278&sprefix=suncream%2Caps%2C303&sr=8-15,"SET WET Deodorant Spray Perfume Cool, Charm & Mischief Avatar for men, 150ml (Pack of 3)",Set Wet,274,660,4.0,11416,416,Beauty,Deodorant,5822,2511,1598,570,799,Amazon,450.0 millilitre
