ProductName,image,link,price,maxretailprice,stars,GlobalRatings,Best Sellers Rank,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,reviewsLink,packageSize,Brand,Number of Blades,Recommended Uses For Product,Age Range (Description),Skin Type,Net Quantity,Number of Items,Number of Pieces,Product Dimensions,Date First Available,Manufacturer,ASIN,Item model number,Country of Origin,Packer,Importer,Item Weight,Item Dimensions LxWxH,Included Components,Colour,Generic Name,Batteries,Is Discontinued By Manufacturer,Item Form,Scent,Active Ingredients,Use for,Special Ingredients,Material Type Free,Special Feature,Power Source,Model Name,Battery Life,Blade Material,Item part number
Gillette Mach 3 Shaving Blades- Pack of 6 (Cartridges),https://m.media-amazon.com/images/I/71GmLK9g0-S._AC_UL400_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2MDQ5NTc4ODc1MjUxNTM0OjE2ODEyMTQ3MTQ6c3BfYXRmOjIwMTI0MzgyMDYzMTk4OjowOjo&url=%2FGillette-Mach-Shaving-Blades-Cartridges%2Fdp%2FB07VGXVZ63%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1EAMOLVYHA0EG%26keywords%3DShaving%26qid%3D1681214714%26sprefix%3Dsuncream%252Caps%252C303%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,656,820,4.5,"18,617",  #63 in Health & Personal Care (See Top 100 in Health & Personal Care)    #2 in Razor Blades       #2 in Razor Blades,65%,24%,7%,2%,3%,https://amazon.in/Gillette-Mach-Shaving-Blades-Cartridges/product-reviews/B07VGXVZ63/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gillette,3,Shaving,Adult,All,6 count,1,6,11.2 x 3.4 x 15.2 cm; 112 Grams,19 July 2019,"Gillete poland international Sp.zo.o., Gillette Poland International SP. z o.o., Ul. Nowy Józefów 70, 94-406 łódź, Poland. Contact: 022-24942113",B07VGXVZ63,82302867,Poland,"Procter & Gamble Home Products Private Ltd, Plot No.1, Indl Area, Villate Katha, Baddi, Dist Solan, HP-173205 Comments/Complaints, call CONSUMER RELATIONS on 022-24942113","Procter & Gamble Hygiene and Health Care Limited, P&G Plaza, Cardinal Gracias Road, Chakala, Andheri (E), Mumbai – 400099. Comments/Complaints, call CONSUMER RELATIONS on 022-24942113",112 g,11.2 x 3.4 x 15.2 Centimeters,Blades & Razors,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Gillette Mach3 Charcoal Shaving Razor for Men with New Enhanced Lubrastrip with a Touch of Charcoal for a Clean Close Shave,https://m.media-amazon.com/images/I/71njh14knhL._AC_UL400_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2MDQ5NTc4ODc1MjUxNTM0OjE2ODEyMTQ3MTQ6c3BfYXRmOjIwMTI0MzU3NTE5Mjk4OjowOjo&url=%2FGillette-Charcoal-Shaving-Enhanced-Lubrastrip%2Fdp%2FB0BSFN6HXT%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1EAMOLVYHA0EG%26keywords%3DShaving%26qid%3D1681214714%26sprefix%3Dsuncream%252Caps%252C303%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,255,300,4.7,68,"  #1,029 in Health & Personal Care (See Top 100 in Health & Personal Care)    #9 in Men's Cartridge Razors       #9 in Men's Cartridge Razors",80%,15%,3%,3%,Not available,https://amazon.in/Gillette-Charcoal-Shaving-Enhanced-Lubrastrip/product-reviews/B0BSFN6HXT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gillette,Not available,Not available,Adult,All,1 count,Not available,Not available,10.5 x 1.9 x 20 cm; 60 Grams,16 January 2023,"Procter & Gamble, PROCTER & GAMBLE INDOCHINA LTD., NO. 1 VSIP II-A, ROAD NO. 18, VIETNAM - SINGAPORE INDUSTRIAL PARK, TAN UYEN TOWN, BINH DUONG, VIETNAM.",B0BSFN6HXT,80731888,Vietnam,"PROCTER & GAMBLE INDOCHINA LTD., NO. 1 VSIP II-A, ROAD NO. 18, VIETNAM - SINGAPORE INDUSTRIAL PARK, TAN UYEN TOWN, BINH DUONG, VIETNAM.","GILLETTE INDIA LIMITED, P&G PLAZA, CARDINAL GRACIAS ROAD, ANDHERI (E),MUMBAI 400099, MH., INDIA. PACKED AT: REFER TO ALPHABET BEFORE BATCH CODE. X: GILLETTE INDIA LIMITED, PLOT NO-4, KATHA BHATOLI KALAN, APPAREL PARK-CUM-INDUSTRIAL AREA, BADDI, HP- 173205, INDIA. Z: HAWKEYE INDUSTRIAL SECURITY SERVICES, PLOT NO. 211, A-1, NEWINDUSTRIAL AREA, MANDIDEEP, DIST. RAISEN, M.P. 462046, iNDIA.",60 g,10.5 x 1.9 x 20 Centimeters,Not available,Black,Razor,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Gillette Fusion Premium Gift Set for Men | 1 Gillette Fusion Manual Handle, 4 Gillette Fusion Cartridges, 1 Travel Case",https://m.media-amazon.com/images/I/61fdIl2CwgL._AC_UL400_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2MDQ5NTc4ODc1MjUxNTM0OjE2ODEyMTQ3MTQ6c3BfYXRmOjIwMTI5OTcyMDEwMTk4OjowOjo&url=%2FGillette-Fusion-Premium-Valentines-Cartridges%2Fdp%2FB0B8JQQQ1H%2Fref%3Dsr_1_3_sspa%3Fcrid%3D1EAMOLVYHA0EG%26keywords%3DShaving%26qid%3D1681214714%26sprefix%3Dsuncream%252Caps%252C303%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"1,124","1,499",4.4,374,"  #1,344 in Health & Personal Care (See Top 100 in Health & Personal Care)    #13 in Men's Cartridge Razors   #16 in Razor Blades       #13 in Men's Cartridge Razors #16 in Razor Blades",66%,23%,5%,2%,5%,https://amazon.in/Gillette-Fusion-Premium-Valentines-Cartridges/product-reviews/B0B8JQQQ1H/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gillette,5,Not available,Not available,All,3 count,3,Not available,17.1 x 7.1 x 24.1 cm; 988 Grams,3 August 2022,"Procter & Gamble, TRAVEL CASE MFD. BY: SHENZHEN JINZHENG PLASTIC INDUSTRIAL CO., LTD., 3RD WANFU ROAD, YUANSHAN STREET, LONGGANG DISTRICT, SHENZHEN, P.R. CHINA. CARTRIDGES MFD. BY: PROCTER & GAMBLE MANUFACTURING BERLIN GMBH, OBERLANDSTRASSE 75-84, D-12099, BERLIN, GERMANY. HANDLE MFD. BY: GILLETTE POLAND INTERNATIONAL SP. Z O. O., UL. NOWY JÓZEFÓW 70, 94-406 ŁÓDZ, POLAND. GIFT PACK BUNDLED BY: PLEASE REFER TO ALPHABET BEFORE BATCH CODE.",B0B8JQQQ1H,80720253,China,"TRAVEL CASE MFD. BY: SHENZHEN JINZHENG PLASTIC INDUSTRIAL CO., LTD., 3RD WANFU ROAD, YUANSHAN STREET, LONGGANG DISTRICT, SHENZHEN, P.R. CHINA. CARTRIDGES MFD. BY: PROCTER & GAMBLE MANUFACTURING BERLIN GMBH, OBERLANDSTRASSE 75-84, D-12099, BERLIN, GERMANY. HANDLE MFD. BY: GILLETTE POLAND INTERNATIONAL SP. Z O. O., UL. NOWY JÓZEFÓW 70, 94-406 ŁÓDZ, POLAND. GIFT PACK BUNDLED BY: PLEASE REFER TO ALPHABET BEFORE BATCH CODE.","N CASE OF X: CARE UTILITY PRODUCTS PVT. LTD., HADBAST NO. 207, VILLAGE-BILLANWALI, BADDI, DIST. SOLAN, H.P- 173205, INDIA. IN CASE OF Z: HAWKEYE INDUSTRIAL SECURITY SERVICES, PLOT NO. 211, A-1, NEW INDUSTRIAL AREA, MANDIDEEP, DIST. RAISEN, PIN – 462046, INDIA. IMPORTED & MARKETED BY: GILLETTE INDIA LIMITED, P&G PLAZA, CARDINAL GRACIAS ROAD, CHAKALA, ANDHERI (E), MUMBAI 400099, MAHARASHTRA, INDIA.",988 g,17.1 x 7.1 x 24.1 Centimeters,Not available,Not available,Razor,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Gillette Fusion Proglide Razor for Men | Pack of 1 | with styling back blade for Perfect Shave and Perfect Beard Shape,https://m.media-amazon.com/images/I/61WhL8ie9nL._AC_UL400_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTo2MDQ5NTc4ODc1MjUxNTM0OjE2ODEyMTQ3MTQ6c3BfYXRmOjIwMTI0NDAzNzk4ODk4OjowOjo&url=%2FGillette-Flexball-Fusion-Glide-Razor%2Fdp%2FB00J2AP9F0%2Fref%3Dsr_1_4_sspa%3Fcrid%3D1EAMOLVYHA0EG%26keywords%3DShaving%26qid%3D1681214714%26sprefix%3Dsuncream%252Caps%252C303%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,411,549,4.5,"6,130",  #378 in Health & Personal Care (See Top 100 in Health & Personal Care)    #3 in Men's Cartridge Razors       #3 in Men's Cartridge Razors,66%,22%,7%,2%,3%,https://amazon.in/Gillette-Flexball-Fusion-Glide-Razor/product-reviews/B00J2AP9F0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gillette,5,Not available,Not available,Combination,1 count,1,Not available,2.87 x 10.01 x 19.86 cm; 50 Grams,1 January 2017,"Gillette, Pax Australia Pty. Ltd., 9 Williamson Road, Ingleburn NSW Australia 2565 Contact: 022-24942113",B00J2AP9F0,81468462,Australia,"Procter & Gamble Home Products Private Ltd, Plot No.1, Indl Area, Villate Katha, Baddi, Dist Solan, HP-173205 Comments/Complaints, call CONSUMER RELATIONS on 022-24942113","Procter & Gamble Hygiene and Health Care Limited, P&G Plaza, Cardinal Gracias Road, Chakala, Andheri (E), Mumbai – 400099. Comments/Complaints, call CONSUMER RELATIONS on 022-24942113",50 g,29 x 100 x 199 Millimeters,Blades & Razors,Not available,Blades & Razors,1 AA batteries required.,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
GILLETTE Mach 3 Shaving Razor (Handle + 2 Cartridge),https://m.media-amazon.com/images/I/61mr4rOOm5S._AC_UL400_.jpg,https://amazon.in/Gillette-Shaving-Razor-Blade-Cartridge/dp/B07VGXW717/ref=sr_1_5?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-5,308,385,4.4,"10,108",  #252 in Health & Personal Care (See Top 100 in Health & Personal Care)    #2 in Men's Cartridge Razors       #2 in Men's Cartridge Razors,62%,25%,8%,2%,3%,https://amazon.in/Gillette-Shaving-Razor-Blade-Cartridge/product-reviews/B07VGXW717/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gillette,4,Not available,Not available,All,2 count,1,Not available,4.5 x 10.3 x 17.3 cm; 123 Grams,19 July 2019,"Gillette, Gillette Poland International SP. z o.o., Ul. Nowy Józefów 70, 94-406 łódź, Poland. Contact: 022-24942113",B07VGXW717,82302880,Poland,"Procter & Gamble Home Products Private Ltd, Plot No.1, Indl Area, Villate Katha, Baddi, Dist Solan, HP-173205 Comments/Complaints, call CONSUMER RELATIONS on 022-24942113","Procter & Gamble Hygiene and Health Care Limited, P&G Plaza, Cardinal Gracias Road, Chakala, Andheri (E), Mumbai – 400099. Comments/Complaints, call CONSUMER RELATIONS on 022-24942113",123 g,45 x 103 x 173 Millimeters,Blades & Razors,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Gillette Classic Sensitive Shave Foam - 418 g (33% extra),https://m.media-amazon.com/images/I/51lKNKuqJjL._AC_UL400_.jpg,https://amazon.in/Gillette-Sensitive-Skin-Shave-Foam/dp/B00G4UDYEE/ref=sr_1_6_mod_primary_new?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=suncream%2Caps%2C303&sr=8-6,115211,225₹225,4.5,"31,649",  #52 in Health & Personal Care (See Top 100 in Health & Personal Care)    #1 in Razor Blades   #1 in Men's Cartridge Razors   #1 in Men's Shaving Creams       #1 in Razor Blades #1 in Men's Cartridge Razors #1 in Men's Shaving Creams,64%,25%,7%,2%,2%,https://amazon.in/Gillette-Sensitive-Skin-Shave-Foam/product-reviews/B00G4UDYEE/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gillette,Not available,Not available,Adult,Sensitive,1 count,1,Not available,6.4 x 6.4 x 21 cm; 418 Grams,1 January 2017,"Pax Australia Pty. Ltd., Pax Australia Pty. Ltd., 9 Williamson Road, Ingleburn NSW Australia 2565 Contact: 022-24942113",B00G4UDYEE,Fat Foamy (Sen) 300gm,India,"Procter & Gamble Home Products Private Ltd, Plot No.1, Indl Area, Villate Katha, Baddi, Dist Solan, HP-173205 Comments/Complaints, call CONSUMER RELATIONS on 022-24942113","Procter & Gamble Hygiene and Health Care Limited, P&G Plaza, Cardinal Gracias Road, Chakala, Andheri (E), Mumbai – 400099. Comments/Complaints, call CONSUMER RELATIONS on 022-24942113",418 g,6.4 x 6.4 x 21 Centimeters,Saving Foam,Not available,Not available,Not available,No,Foam,Scented,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Bombay Shaving Co Charcoal Shaving Foam for Men, 425g (43% Extra) | More than 100 shaves | Activated Charcoal and Moroccan Argan Oil",https://m.media-amazon.com/images/I/71K7bbrB4wL._AC_UL400_.jpg,https://amazon.in/Bombay-Shaving-Charcoal-Activated-Moroccan/dp/B0BGLGP83C/ref=sr_1_7?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-7,157,275,4.1,535,"  #1,155 in Health & Personal Care (See Top 100 in Health & Personal Care)    #2 in Men's Shaving Foams       #2 in Men's Shaving Foams",55%,23%,10%,3%,9%,https://amazon.in/Bombay-Shaving-Charcoal-Activated-Moroccan/product-reviews/B0BGLGP83C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Bombay Shaving Company,Not available,Not available,Not available,All,425.0 gram,1,Not available,10 x 5 x 5 cm; 425 Grams,27 September 2022,"Visage Lines Personal Care Pvt. Ltd, Visage Lines Personal Care Pvt. Ltd, Visage Lines Personal Care Pvt. Ltd. F-213-B, First Floor, Old M.B. Road, Lado Sarai, Delhi-110030, Contact No: 07303488233",B0BGLGP83C,Visage Lines Personal Care Pvt. Ltd.,India,"Visage Lines Personal Care Pvt. Ltd, Visage Lines Personal Care Pvt. Ltd. F-213-B, First Floor, Old M.B. Road, Lado Sarai, Delhi-110030, Contact No: 07303488233",Not available,425 g,10 x 5 x 5 Centimeters,Not available,Not available,Shaving foam,Not available,Not available,Gel,Aloe Vera,Charcoal,Face,Argan Oil,Paraben Free,Not available,Not available,Not available,Not available,Not available,Not available
"Bombay Shaving Company Shaving Cream with Tea Tree oil, Aloe Vera and Menthol Extracts- 100 g | Made in India",https://m.media-amazon.com/images/I/61myZ1DQheL._AC_UL400_.jpg,https://amazon.in/Bombay-Shaving-Company-Cream-100/dp/B01NBMMJET/ref=sr_1_8?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-8,125,195,4.2,"10,373",  #359 in Health & Personal Care (See Top 100 in Health & Personal Care)    #4 in Men's Shaving Creams       #4 in Men's Shaving Creams,53%,27%,12%,4%,4%,https://amazon.in/Bombay-Shaving-Company-Cream-100/product-reviews/B01NBMMJET/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Bombay Shaving Company,Not available,Not available,Adult,"All, Dry, Normal",100.0 gram,1,Not available,6 x 16 x 6 cm; 118 Grams,20 December 2016,"Visage Lines Personal care Private Limited, Visage Lines Personal Care Pvt. Ltd. F-213-B, First Floor, Old M.B. Road, Lado Sarai, Delhi-110030, Contact No: 07303488233",B01NBMMJET,CR100,India,"Visage Lines Personal Care Pvt. Ltd. F-213-B, First Floor, Old M.B. Road, Lado Sarai, Delhi-110030, Contact No: 07303488233","Visage Lines Personal Care Pvt. Ltd. F-213-B, First Floor, Old M.B. Road, Lado Sarai, Delhi-110030, Contact No: 07303488233",118 g,6 x 16 x 6 Centimeters,Shaving Cream,Not available,Shaving Cream,Not available,No,Cream,"Aloe Vera,Peppermint,Musk",Not available,Not available,Not available,"Alcohol Free, Paraben Free",Not available,Not available,Not available,Not available,Not available,Not available
Gillette Presto Manual Shaving Razor(Pack of 5),https://m.media-amazon.com/images/I/61Ajt-l1nsL._AC_UL400_.jpg,https://amazon.in/Gillette-Presto-Sata-Sat-5/dp/B01D8NAX2A/ref=sr_1_9?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-9,88,88,4.3,"2,726",  #647 in Health & Personal Care (See Top 100 in Health & Personal Care)    #4 in Men's Cartridge Razors       #4 in Men's Cartridge Razors,59%,25%,10%,3%,3%,https://amazon.in/Gillette-Presto-Sata-Sat-5/product-reviews/B01D8NAX2A/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Not available,Not available,Not available,Not available,Not available,5 count,Not available,Not available,9.1 x 2.1 x 24.4 cm; 19 Grams,1 January 2017,"Pax Australia Pty. Ltd., Pax Australia Pty. Ltd., 9 Williamson Road, Ingleburn NSW Australia 2565 Contact: 022-24942113",B01D8NAX2A,GPI 5s,Australia,"Procter & Gamble Home Products Private Ltd, Plot No.1, Indl Area, Villate Katha, Baddi, Dist Solan, HP-173205 Comments/Complaints, call CONSUMER RELATIONS on 022-24942113","Procter & Gamble Hygiene and Health Care Limited, P&G Plaza, Cardinal Gracias Road, Chakala, Andheri (E), Mumbai – 400099. Comments/Complaints, call CONSUMER RELATIONS on 022-24942113",19 g,9.1 x 2.1 x 24.4 Centimeters,Blades & Razors,Not available,Not available,Not available,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Gillette Guard 3 Single Razor with 8 Blades Pack,https://m.media-amazon.com/images/I/61QSTpnWaxL._AC_UL400_.jpg,https://amazon.in/Gillette-Guard-Single-Razor-Blades/dp/B09219VJXM/ref=sr_1_10?crid=1EAMOLVYHA0EG&keywords=Shaving&qid=1681214714&sprefix=suncream%2Caps%2C303&sr=8-10,350,350,4.2,"3,770",  #961 in Health & Personal Care (See Top 100 in Health & Personal Care)    #8 in Men's Cartridge Razors       #8 in Men's Cartridge Razors,55%,26%,10%,3%,5%,https://amazon.in/Gillette-Guard-Single-Razor-Blades/product-reviews/B09219VJXM/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Gillette,3,Not available,Not available,All,1 count,1,Not available,13.8 x 2.5 x 19 cm; 90 Grams,7 April 2021,"Gillette, Procter & Gamble Indochina Ltd., No.1 VSIP II-A, Road No.18, Vietnam-Singapore Industrial Park. Tan Uyen Town, Binh Duong, Vietnam",B09219VJXM,82325856,Vietnam,"Procter & Gamble Indochina Ltd., No.1 VSIP II-A, Road No.18, Vietnam-Singapore Industrial Park. Tan Uyen Town, Binh Duong, Vietnam","India P&G plaza, Cardinal Gracias Road, Chakala, Andheri (E), Mumbai - 400099 India",90 g,13.8 x 2.5 x 19 Centimeters,Not available,Not available,Razor,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
