imagelink,productlink,ProductName,Brand,price,maxretailprice,stars,Ratings,Reviews,Mother Category,Category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,Platform,Quantity
https://m.media-amazon.com/images/I/71d4BmAgZDL._AC_UL400_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NDg0NDQwNDg3MTcyMzA0OjE2ODIxOTk3Mzk6c3BfYXRmOjIwMTMyMDI4MTg3Mzk4OjowOjo&url=%2FHair-Care-Fruit-Green-300ml%2Fdp%2FB07JLP5J13%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DHair%2BCare%2Band%2BAccessory%26qid%3D1682199739%26sprefix%3Dsuncream%252Caps%252C303%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Hair & Care Triple Blend Damage Repair Non-Sticky Hair Oil with Aloe Vera, Olive Oil & Green Tea, 300 ml + 100 ml",Hair & Care,153,224,4.3,8419,419,Beauty,HairOils,4967,1936,841,252,336,Amazon,400.0 millilitre
https://m.media-amazon.com/images/I/71t0L4UPosL._AC_UL400_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NDg0NDQwNDg3MTcyMzA0OjE2ODIxOTk3Mzk6c3BfYXRmOjIwMDcwODgyMDQ1NTk4OjowOjo&url=%2FParachute-Advansed-Leaves-Greying-Control%2Fdp%2FB0B4WWLNF1%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DHair%2BCare%2Band%2BAccessory%26qid%3D1682199739%26sprefix%3Dsuncream%252Caps%252C303%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Parachute Advansed Curry Leaves Hair Oil for Hair Fall and Greying Control - With Natural Coconut Oil & Vitamin E - 200ml,Parachute Advansed,287,399,4.3,712,367,Beauty,HairOils,434,163,49,14,42,Amazon,200.0 millilitre
https://m.media-amazon.com/images/I/51yBZ8OxTHL._AC_UL400_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NDg0NDQwNDg3MTcyMzA0OjE2ODIxOTk3Mzk6c3BfYXRmOjIwMDU2MzU3MjUzMDAzOjowOjo&url=%2FMatrix-Opti-care-Professional-Smoothing-Conditioner%2Fdp%2FB08W2KNBK8%2Fref%3Dsr_1_3_sspa%3Fkeywords%3DHair%2BCare%2Band%2BAccessory%26qid%3D1682199739%26sprefix%3Dsuncream%252Caps%252C303%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"MATRIX Opti.Care Professional ANTI-FRIZZ Combo | For Salon Smooth, Straight hair | with Shea Butter | Shampoo 200ml + Conditioner 98g",Matrix,585,650,4.3,2788,788,Beauty,Shampoos,1617,724,250,83,111,Amazon,1 count
https://m.media-amazon.com/images/I/51KBbW845ML._AC_UL400_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NDg0NDQwNDg3MTcyMzA0OjE2ODIxOTk3Mzk6c3BfYXRmOjIwMTE0MzU0MDAyNjk4OjowOjo&url=%2FStBotanica-Moroccan-Argan-Hair-Serum%2Fdp%2FB078SR7QQ5%2Fref%3Dsr_1_4_sspa%3Fkeywords%3DHair%2BCare%2Band%2BAccessory%26qid%3D1682199739%26sprefix%3Dsuncream%252Caps%252C303%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,St.Botanica Moroccan Argan Hair Serum - Nourishing and Frizz Control Serum (With USDA Organic Argan Oil) 120ml,St.Botanica,511,749,4,2966,966,Beauty,Shampoos,1483,741,385,118,237,Amazon,120 millilitre
https://m.media-amazon.com/images/I/61AQUE0Yd3L._AC_UL400_.jpg,https://amazon.in/NAYAB-Natural-Organic-Powder-Accessories/dp/B08L6N6TJJ/ref=sr_1_5?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-5,NAYAB Natural Organic Hair Care and Body Art Henna Powder with Accessories Kit (Gloves+Shower Cap+Spoon+Brush+Vacuum Pack),NAYAB,188,199,,,,Beauty,Hennas,NaN,NaN,NaN,NaN,NaN,Amazon,100 gram
https://m.media-amazon.com/images/I/61-WQrocBOL._AC_UL400_.jpg,https://amazon.in/NAYAB-Natural-Organic-Accessories-packet/dp/B08XJSGMFG/ref=sr_1_6?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-6,NAYAB Natural Organic Hair Care and Body Art Dark Brown Henna Powder (300 Gram) with Accessories Kit (Gloves+Shower Cap+Spoon+Brush+Vacuum Pack) are free with each packet.,NAYAB,282,599,,,,Beauty,Hennas,NaN,NaN,NaN,NaN,NaN,Amazon,1.00 count
https://m.media-amazon.com/images/I/71XE-K+VK-L._AC_UL400_.jpg,https://amazon.in/Hair-Scalp-Massager-Exfoliator-Waterproof/dp/B0B985GVTB/ref=sr_1_7?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-7,"RENESMEE Hair Scalp Shampoo Massager Brush, Scalp Massager Exfoliator for Dandruff Removal, Waterproof Shower Scalp Scrubber for Hair Growth, Soft Silicone Bristles (Black)",Renesmee,158,699,4.6,764,401,Beauty,HairBrushes,611,61,45,15,38,Amazon,1.00 count
https://m.media-amazon.com/images/I/8118H-iUuGL._AC_UL400_.jpg,https://amazon.in/Sanas-Procomb-Detangling-Hairdressing-Accessory/dp/B08R7N1D2S/ref=sr_1_8?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-8,Sanas Wide Tooth Hair Comb 1 Piece Procomb Wavy Long Curly Hair Care Detangling Wide Teeth Brush Hairdressing Styling Tool Hair Accessory For Women And Men - 1 Piece,Sanas,220,250,3.9,2,,Beauty,HairBrushes,0,NaN,1,NaN,NaN,Amazon,1.00 count
https://m.media-amazon.com/images/I/61HbVhRHhGL._AC_UL400_.jpg,https://amazon.in/VEDETIC-Bowl-Brush-Apron-Accessories/dp/B0BZKZPNTD/ref=sr_1_9?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-9,"VEDETIC Hair Dye Coloring Kit 1 Dye Bowl, 3 Hair Coloring Brush and Apron Sheet Saloon Use Accessories Black Mixing Bowl for Home and Salon Use",VEDETIC,299,599,3,1,,,,NaN,NaN,1,NaN,NaN,Amazon,
https://m.media-amazon.com/images/I/71pTHes4-eL._AC_UL400_.jpg,https://amazon.in/Sanas-Accessories-Wedding-Butterfly-Clutcher/dp/B09VKYLLPB/ref=sr_1_10?keywords=Hair+Care+and+Accessory&qid=1682199739&sprefix=suncream%2Caps%2C303&sr=8-10,Sanas Hair Accessories 1 Pc Hair Clips For Women Stone Accessories For Girls Hair Accessories For Women Wedding Claw Clip Butterfly Hair Clip Hair Clutcher Metal Hair Clips Pearl Hair Clip,Sanas,399,600,4.1,366,67,Beauty,HairClaws,201,76,36,21,29,Amazon,1.00 count
