imagelink,productlink,ProductName,Brand,price,maxretailprice,stars,Ratings,Reviews,Mother Category,Category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,Platform,Quantity
https://m.media-amazon.com/images/I/61mr4rOOm5S._AC_UL400_.jpg,https://amazon.in/Gillette-Shaving-Razor-Blade-Cartridge/dp/B07VGXW717/ref=sr_1_1?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-1,GILLETTE Mach 3 Shaving Razor (Handle + 2 Cartridge),Gillette,288,385,4.4,10245,245,Health&PersonalCare(SeeTop100inHealth&PersonalCare),CartridgeRazors,6351,2561,819,204,307,Amazon,2 count
https://m.media-amazon.com/images/I/51lKNKuqJjL._AC_UL400_.jpg,https://amazon.in/Gillette-Sensitive-Skin-Shave-Foam/dp/B00G4UDYEE/ref=sr_1_2?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-2,Gillette Classic Sensitive Shave Foam - 418 g (33% extra),Gillette,211,225,4.5,31811,811,Health&PersonalCare(SeeTop100inHealth&PersonalCare),Blades,20359,7952,2226,636,636,Amazon,1 count
https://m.media-amazon.com/images/I/71utad5ELjL._AC_UL400_.jpg,https://amazon.in/Bombay-Shaving-Company-Cream-100/dp/B01NBMMJET/ref=sr_1_3?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-3,"Bombay Shaving Company Shaving Cream with Tea Tree oil, Aloe Vera and Menthol Extracts- 100 g | Made in India",Bombay Shaving Company,125,195,4.2,10443,443,Health&PersonalCare(SeeTop100inHealth&PersonalCare),ShavingCreams,5534,2819,1253,417,417,Amazon,100.0 gram
https://m.media-amazon.com/images/I/616AKMTO3RL._AC_UL400_.jpg,https://amazon.in/Bombay-Shaving-Charcoal-Activated-Moroccan/dp/B0BGLGP83C/ref=sr_1_4?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-4,"Bombay Shaving Company Charcoal Shaving Foam for Men, 425g (43% Extra) | More than 100 shaves | Activated Charcoal and Moroccan Argan Oil",Not available,157,275,4.1,584,92,Not available,Not available,315,140,52,23,52,Amazon,Not available
https://m.media-amazon.com/images/I/61Ajt-l1nsL._AC_UL400_.jpg,https://amazon.in/Gillette-Presto-Sata-Sat-5/dp/B01D8NAX2A/ref=sr_1_5?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-5,Gillette Presto Manual Shaving Razor(Pack of 5),Not available,88,88,4.3,2763,763,Health&PersonalCare(SeeTop100inHealth&PersonalCare),CartridgeRazors,1630,718,276,82,82,Amazon,5 count
https://m.media-amazon.com/images/I/61Pd+KL5wzL._AC_UL400_.jpg,https://amazon.in/Unikveda-Hydrating-Nourishing-Transparent-Visibility/dp/B09NFV6GDP/ref=sr_1_6?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-6,Unikveda Hydrating n Nourishing Non Foaming Shaving Gel for Men With Aloe Vera n Glycerin | Transparent Shave Gel For Maximum Visibility n Smooth Beard Shaving | Vegan n Paraben Free | 450 Grams,Not available,280,280,3.8,90,15,Health&PersonalCare(SeeTop100inHealth&PersonalCare),ShavingCreams,37,21,14,6,9,Amazon,1.00 count
https://m.media-amazon.com/images/I/61iJou+x-gL._AC_UL400_.jpg,https://amazon.in/Gillette-Manual-Shaving-Razor-Blades/dp/B00HYAJPFA/ref=sr_1_7?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-7,Gillette Mach 3 Manual Shaving Razor Blades - 4s Pack (Cartridge),Gillette,472,525,4.4,10011,012,Health&PersonalCare(SeeTop100inHealth&PersonalCare),Blades,6206,2602,800,200,300,Amazon,4 count
https://m.media-amazon.com/images/I/61qtxFjZjzL._AC_UL400_.jpg,https://amazon.in/Cordless-Trimmer-settings-Charging-Warranty/dp/B098P8NRRW/ref=sr_1_8?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-8,"Bombay Shaving Co Trimmer Men, 2X Fast Charging, 2 Yr Warranty, 80Min runtime, Hair Trimmer, Shaving Machine, Cordless Beard, 38 length Settings, Flash USB Cable fast Charging (Black)",Bombay Shaving Company,699,"1,199",4.0,3206,212,Health&PersonalCare(SeeTop100inHealth&PersonalCare),&BeardScissors,1570,801,352,128,352,Amazon,1 count
https://m.media-amazon.com/images/I/71-7x2NrMsL._AC_UL400_.jpg,https://amazon.in/Bombay-Shaving-Company-Feather-Blades/dp/B07L2ZSNY3/ref=sr_1_9?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-9,"Bombay Shaving Company Feather Razor Blades, Platinum Coated (Pack of 20)",Bombay Shaving Company,400,500,4.3,1632,632,Health&PersonalCare(SeeTop100inHealth&PersonalCare),Blades,995,342,130,48,97,Amazon,20 count
https://m.media-amazon.com/images/I/71UgNqA9FEL._AC_UL400_.jpg,https://amazon.in/Gillette-Sensitive-Pre-Shave-Gel-Tube/dp/B00JUJ2P7S/ref=sr_1_10?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-10,Gillette Sensitive Pre Shave Gel Tube - 60 g,Gillette,84,90,4.5,1640,641,Health&PersonalCare(SeeTop100inHealth&PersonalCare),ShavingGels,1033,442,114,16,32,Amazon,60.0 gram
https://m.media-amazon.com/images/I/61fOb1pmEFL._AC_UL400_.jpg,https://amazon.in/SYGA-Stainless-Straight-Folding-Shaving/dp/B07HFVQ8V9/ref=sr_1_11?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-11,SYGA Barber Stainless Steel Straight Edge Barber Razor Folding Shaving Shaver for Men,SYGA,189,550,3.8,1127,127,Health&PersonalCare(SeeTop100inHealth&PersonalCare),CartridgeRazors,450,304,180,78,123,Amazon,1 count
https://m.media-amazon.com/images/I/61QSTpnWaxL._AC_UL400_.jpg,https://amazon.in/Gillette-Guard-Single-Razor-Blades/dp/B09219VJXM/ref=sr_1_12?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-12,Gillette Guard 3 Single Razor with 8 Blades Pack,Gillette,350,350,4.2,3822,823,Health&PersonalCare(SeeTop100inHealth&PersonalCare),CartridgeRazors,2102,993,382,114,191,Amazon,1 count
https://m.media-amazon.com/images/I/61WhL8ie9nL._AC_UL400_.jpg,https://amazon.in/Gillette-Flexball-Fusion-Glide-Razor/dp/B00J2AP9F0/ref=sr_1_13?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-13,Gillette Fusion Proglide Razor for Men | Pack of 1 | with styling back blade for Perfect Shave and Perfect Beard Shape,Gillette,411,549,4.5,6173,174,Health&PersonalCare(SeeTop100inHealth&PersonalCare),CartridgeRazors,4074,1358,432,123,185,Amazon,1 count
https://m.media-amazon.com/images/I/61ahizox93L._AC_UL400_.jpg,https://amazon.in/Bombay-Shaving-Company-Activated-Protection/dp/B07WF39DJC/ref=sr_1_14?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-14,"Bombay Shaving Company Charcoal Shaving Foam, 266 ml (33% extra) with Activated Charcoal & Moroccan Argan Oil",Bombay Shaving Company,134,245,4.1,3436,436,Not available,Not available,1752,927,412,137,206,Amazon,264.0 gram
https://m.media-amazon.com/images/I/81UZNtwhEFL._AC_UL400_.jpg,https://amazon.in/Advance-Shaving-Blades-Trimmer-Cartridges/dp/B0B2QQBSWJ/ref=sr_1_15?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-15,Kloze Advance 5 | Shaving Razor for Men| 1 Handle + 2 Trimmer Blades (Cartridges) | Easy & Smooth Shave with 5 Blades,KLOZE,270,375,3.7,794,175,Health&PersonalCare(SeeTop100inHealth&PersonalCare),CartridgeRazors,333,166,119,71,103,Amazon,2 count
https://m.media-amazon.com/images/I/71RRx0llxpL._AC_UL400_.jpg,https://amazon.in/Gillette-Shaving-Brush-Piece-pack/dp/B0075JNWXG/ref=sr_1_16?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-16,Gillette Shaving Brush (1 Piece pack),Not available,70,70,4.3,2353,Not available,Not available,Not available,NaN,NaN,NaN,NaN,NaN,Amazon,Not available
https://m.media-amazon.com/images/I/616dVBpUDgL._AC_UL400_.jpg,https://amazon.in/Gillette-Manual-Shaving-Razor-Blades/dp/B00HYAJQ9K/ref=sr_1_17?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-17,Gillette Mach 3 Manual Shaving Razor Blades - 8s Pack (Cartridge),Gillette,899,949,4.4,4038,039,Health&PersonalCare(SeeTop100inHealth&PersonalCare),Blades,2463,1049,323,80,121,Amazon,8 count
https://m.media-amazon.com/images/I/611-ClXIY6L._AC_UL400_.jpg,https://amazon.in/Gillette-Manual-Shaving-Razor-Blades/dp/B00G4UDTXU/ref=sr_1_18?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-18,Gillette Mach 3 Manual Shaving Razor Blades - 2s Pack (Cartridge),Not available,260,260,4.4,7420,Not available,Not available,Not available,NaN,NaN,NaN,NaN,NaN,Amazon,Not available
https://m.media-amazon.com/images/I/71isgKcjNKL._AC_UL400_.jpg,https://amazon.in/LetsShave-Disposable-Shaving-Triple-5-Count/dp/B07Q7ZWH6B/ref=sr_1_19?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-19,"LetsShave Pro 3 Plus Disposable Shaving Razor for Men, Triple Blade Razor with Rubber Grip Handle and Safety Cap, Pack of 5",LetsShave,179,199,3.8,1703,703,AmazonLaunchpad(SeeTop100inAmazonLaunchpad),DisposableRazors,698,425,289,136,170,Amazon,5 count
https://m.media-amazon.com/images/I/71GmLK9g0-S._AC_UL400_.jpg,https://amazon.in/Gillette-Mach-Shaving-Blades-Cartridges/dp/B07VGXVZ63/ref=sr_1_20?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-20,Gillette Mach 3 Shaving Blades- Pack of 6 (Cartridges),Gillette,656,820,4.5,18759,766,Health&PersonalCare(SeeTop100inHealth&PersonalCare),Blades,12193,4502,1313,375,562,Amazon,6 count
https://m.media-amazon.com/images/I/71AGPufU1HL._AC_UL400_.jpg,https://amazon.in/Bombay-Shaving-Company-Experience-irritation-free/dp/B09516VQRR/ref=sr_1_21?keywords=Shaving&qid=1682079539&sprefix=suncream%2Caps%2C303&sr=8-21,Bombay Shaving Company Hair Removal Razor for Women (Pack of 3) | Safe and Hygienic | Experience Close and Irritation-Free Shaves | Aloe Vera and Vitamin E,Bombay Shaving Company,189,225,3.8,381,61,Health&PersonalCare(SeeTop100inHealth&PersonalCare),CartridgeRazors,171,72,68,26,41,Amazon,3.00 count
