imagelink,productlink,price,maxretailprice,ProductName,stars,GlobalRatings,Category,Sub-category-1,Sub-category-2,Sub-category-3,Sub-category-4,reviewsLink,HighLights,Pack of,Sales Package,Brand,Model Name,Ideal For,Type,Quantity,Maximum Shelf Life,Anti Perspirant,Fragrance Family,Limited Edition,Country of Origin,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,globalReviews,reviews,Other Traits,Ideal Usage,Certification
https://rukminim1.flixcart.com/image/612/612/xif0q/deodorant/q/k/d/480-combo-for-multifaceted-man-4-deodorant-spray-the-man-company-original-imagmwj8d3evxwzj.jpeg?q=70,https://www.flipkart.com/man-company-combo-multifaceted-deodorant-spray-men/p/itmf47rfszkzmapr?pid=DEOF47PKPW6ECDX6&lid=LSTDEOF47PKPW6ECDX6VTLSDN&marketplace=FLIPKART&q=Deodorants&store=g9b%2F0yh%2Fvp1%2F0kb&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_8cJmTnZXKacOWGZ7qTdRdopCXGDmmxW81cC8%2FzpZ%2FXWoNeULP43apSdZyumDVs8ZtjiBCxik6LE4%2BGXGMek8OQ%3D%3D&ppt=None&ppn=None&ssid=pdg5pajwn40000001680876245219&qH=630278361da13d4f,1019,1396,"THE MAN COMPANY Combo For Multifaceted Man Deodorant Spray  -  For Men  (480 ml, Pack of 4)",4.3,"6,164 ratings and 514 reviews",Beauty and Grooming,Fragrances,Deodorants,Deodorant Spray,THE MAN COMPANY Deodorant Spray,https://www.flipkart.com/man-company-combo-multifaceted-deodorant-spray-men/product-reviews/itmf47rfszkzmapr?pid=DEOF47PKPW6ECDX6&lid=LSTDEOF47PKPW6ECDX6VTLSDN&marketplace=FLIPKART,"[""Quantity: 480 ml"",""Fragrance: Deodorant Spray"",""For Men"",""Anti Perspirant"",""Limited Edition""]",4,"1 Blanc Body Perfume (120ml), 1 Noir Body Perfume (120ml), 1 Rouge Body Perfume (120ml), 1 Bleu Body Perfume (120ml)",THE MAN COMPANY,Combo For Multifaceted Man,Men,Deodorant Spray,480 ml,36 Months,Yes,Fresh,Yes,India,"3,930","1,208",481,207,338,514 Reviews,"[{""title"":""Highly recommended"",""summary"":""All the spray's are quiet good. As per other brands body scent price in market this combo is not too heavy. All range is exclusive. Noir is not so good but other's are quiet awake. This brand is doing good. The packaging is impressive.""},{""title"":""Brilliant"",""summary"":""The product is awesome. Bleu, Blanc, noir and rougue, this is the rank how I used it and it's good. Happy with the purchase. The fragrance lasts long and keeps me fresh all day long & Good packing. Nice fragrance. Actually, i was afraid to go for it at first due to some packing issues mentioned. But, luckily I got my product in good condition I'm relieved. Product expiring date is upto 2025.""},{""title"":""Mind-blowing purchase"",""summary"":""Its very good for gifting ..the perfumes smells amazing and it's very nice""},{""title"":""Best in the market!"",""summary"":""Very nice product and packaging is great.Loved this product""},{""title"":""Terrific purchase"",""summary"":""It's awesome 😍😍😍😍😍    and long lasting perfumes""},{""title"":""Just wow!"",""summary"":""very good product""},{""title"":""Highly recommended"",""summary"":""Product Quality 💯Presentation of box was fabulous 🙈Nice to gift someone 🎉""},{""title"":""Terrific"",""summary"":""😍 product quality and packing is too good Nice to gift someone""},{""title"":""Highly recommended"",""summary"":""I like it ❤""},{""title"":""Value-for-money"",""summary"":""Awsm""}]",Not available,Not available,Not available
https://rukminim1.flixcart.com/image/612/612/xif0q/deodorant/v/c/w/645-gold-and-dark-temptation-3-deodorant-spray-axe-men-original-imaghav2dygag4mv.jpeg?q=70,https://www.flipkart.com/axe-gold-dark-temptation-deodorant-spray-men/p/itm3cde75ef454fc?pid=DEOGHAHXYUKFEGXZ&lid=LSTDEOGHAHXYUKFEGXZM6ZGRE&marketplace=FLIPKART&q=Deodorants&store=g9b%2F0yh%2Fvp1%2F0kb&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_8cJmTnZXKacOWGZ7qTdRdopCXGDmmxW81cC8%2FzpZ%2FXUz5SqQkgMn7jABFSHz2qg%2FGp%2Fai70sFEJjXZvVsxVpnQ%3D%3D&ppt=None&ppn=None&ssid=pdg5pajwn40000001680876245219&qH=630278361da13d4f,513,1020,"AXE Gold and Dark Temptation Deodorant Spray  -  For Men  (645 ml, Pack of 3)",4.1,"14,262 ratings and 1,126 reviews",Beauty and Grooming,Fragrances,Deodorants,Deodorant Spray,AXE Deodorant Spray,https://www.flipkart.com/axe-gold-dark-temptation-deodorant-spray-men/product-reviews/itm3cde75ef454fc?pid=DEOGHAHXYUKFEGXZ&lid=LSTDEOGHAHXYUKFEGXZM6ZGRE&marketplace=FLIPKART,"[""Quantity: 645 ml"",""Fragrance: Deodorant Spray"",""For Men""]",3,Not available,AXE,Gold and Dark Temptation,Men,Deodorant Spray,645 ml,36 Months,Not available,Not available,Not available,Not available,"8,006","2,974","1,621",641,"1,020","1,126 Reviews","[{""title"":""Highly recommended"",""summary"":""Nice product , Awesome fragrance , Excellent Quality with reasonable Price Must buy it... Thank you filpkart""},{""title"":""Highly recommended"",""summary"":""Super Thanks to flipkart 🙏🙏""},{""title"":""Must buy!"",""summary"":""Nyc perfume""},{""title"":""Really Nice"",""summary"":""good product. must buy""},{""title"":""Just wow!"",""summary"":""Decent fragrance..""},{""title"":""Super!"",""summary"":""Awesome productThank u flip kart""},{""title"":""Don't waste your money"",""summary"":""one can empty. packing was tampered""},{""title"":""Delightful"",""summary"":""Long lasting and Nice Fragrance.""},{""title"":""Perfect product!"",""summary"":""Nice and best spary""},{""title"":""Does the job"",""summary"":""Good but gold is not perfectOnly for dark temptation is betterDon't buy combo pack""}]",Not available,Not available,Not available
https://rukminim1.flixcart.com/image/612/612/ktx9si80/deodorant/2/9/e/voyage-amazon-woods-deodorant-spray-park-avenue-men-original-imag75mjnyygmpqq.jpeg?q=70,https://www.flipkart.com/park-avenue-voyage-amazon-woods-deodorant-spray-men/p/itm1689deb024fae?pid=DEOFPMZFFJDEUGZT&lid=LSTDEOFPMZFFJDEUGZT8RKBZE&marketplace=FLIPKART&q=Deodorants&store=g9b%2F0yh%2Fvp1%2F0kb&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=f360865b-bd29-4bb6-bd81-56df22af710d.DEOFPMZFFJDEUGZT.SEARCH&ppt=None&ppn=None&ssid=pdg5pajwn40000001680876245219&qH=630278361da13d4f,214,330,PARK AVENUE Voyage Amazon Woods Deodorant Spray  -  For Men  (120 ml),4.2,327 ratings and 22 reviews,Beauty and Grooming,Fragrances,Deodorants,Deodorant Spray,PARK AVENUE Deodorant Spray,https://www.flipkart.com/park-avenue-voyage-amazon-woods-deodorant-spray-men/product-reviews/itm1689deb024fae?pid=DEOFPMZFFJDEUGZT&lid=LSTDEOFPMZFFJDEUGZT8RKBZE&marketplace=FLIPKART,"[""Quantity: 120 ml"",""Fragrance: Deodorant Spray"",""For Men"",""Anti Perspirant"",""Limited Edition""]",1,Not available,PARK AVENUE,Voyage Amazon Woods,Men,Deodorant Spray,120 ml,36 Months,Yes,Fresh,Yes,india,201,63,24,11,28,22 Reviews,"[{""title"":""Does the job"",""summary"":""Beauty""},{""title"":""Just wow!"",""summary"":""Super perfume""},{""title"":""Terrible product"",""summary"":""This is not a good quality product it's smells felt in sometime""},{""title"":""Terrific"",""summary"":""Awesome perfume""},{""title"":""Brilliant"",""summary"":""Super fragrance ❣️""},{""title"":""Just wow!"",""summary"":""Nice one""},{""title"":""Pretty good"",""summary"":""10 out of 8 Suplaa fragrance 🍑👋""},{""title"":""Wonderful"",""summary"":""Good flover""},{""title"":""Hated it!"",""summary"":""Very worst perfume this new pack I don't like it Bad fragrance""},{""title"":""Best in the market!"",""summary"":""It's very Good..""}]","Times More Perfume.Fights Odour Causing Bacteria.A Combination of EDP and Deodorant.EDP - Because the Perfume Concentration is 12%.Deodorant - Because it has Odour Masking Agent.Keeps the Body Free of Body Odour as Well as Give Long Lasting Fragrance like EDP.2-in-1 Perfumed Deodorant of India.Compared to Other Marketed No-gas Deodorants, IMPACT Deodorant has More Fragrance",Not available,Not available
https://rukminim1.flixcart.com/image/612/612/kingqkw0pkrrdj-0/personal-care/d/a/u/330-dn049-denver-original-imafyhw4huy7hwak.jpeg?q=70,https://www.flipkart.com/denver-2-hamilton-deodorant-spray-men/p/itmf3v9rxs5hhwdz?pid=DEOEBU3TZCGTXGHF&lid=LSTDEOEBU3TZCGTXGHFDGQI95&marketplace=FLIPKART&q=Deodorants&store=g9b%2F0yh%2Fvp1%2F0kb&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=f360865b-bd29-4bb6-bd81-56df22af710d.DEOEBU3TZCGTXGHF.SEARCH&ppt=None&ppn=None&ssid=pdg5pajwn40000001680876245219&qH=630278361da13d4f,339,440,"DENVER 2 Hamilton Deodorant Spray  -  For Men  (330 ml, Pack of 2)",4.3,"14,245 ratings and 1,170 reviews",Beauty and Grooming,Fragrances,Deodorants,Deodorant Spray,DENVER Deodorant Spray,https://www.flipkart.com/denver-2-hamilton-deodorant-spray-men/product-reviews/itmf3v9rxs5hhwdz?pid=DEOEBU3TZCGTXGHF&lid=LSTDEOEBU3TZCGTXGHFDGQI95&marketplace=FLIPKART,"[""Quantity: 330 ml"",""Fragrance: Deodorant Spray"",""For Men""]",2,2 Deodrant,DENVER,2 Hamilton,Men,Deodorant Spray,330 ml,36 Months,Not available,"Woody, Fresh",Not available,Not available,"9,033","2,683","1,207",515,807,"1,170 Reviews","[{""title"":""Terrific"",""summary"":""It's very nice product with gentle fragnance...I love it I used to buy it from 5 years..Flipkart gives best price for this than others....""},{""title"":""Must buy"",""summary"":""Good product got it for 258 rs I think its worth it and has a new and refreshing kind off aroma! Must buy for this price""},{""title"":""Excellent"",""summary"":""Good very good value for money good smile""},{""title"":""Mind-blowing purchase"",""summary"":""Awesome fragrance...!!! Great packaging...!! proper seal packed containers...!!! really good delivery by flipkart...!!!! Go for it its really gooddd...!!!!""},{""title"":""Mind-blowing purchase"",""summary"":""I am happy from this product it was very nice and it smell also beautiful .""},{""title"":""Terrific purchase"",""summary"":""Good product, and Delivery is Good""},{""title"":""Highly recommended"",""summary"":""Very nice product""},{""title"":""Awesome"",""summary"":""Superb""},{""title"":""Very Good"",""summary"":""Good""},{""title"":""Terrific purchase"",""summary"":""Very nice product thankyou Flipkart ☺️☺️""}]",Not available,Not available,Not available
https://rukminim1.flixcart.com/image/612/612/xif0q/deodorant/i/n/9/-original-imaga36afsjdsrrp.jpeg?q=70,https://www.flipkart.com/set-wet-cool-charm-mischief-avatar-deodorant-spray-men/p/itmcb8ab0baba15b?pid=DEOF27GUHBJXSMYF&lid=LSTDEOF27GUHBJXSMYFZIWDBE&marketplace=FLIPKART&q=Deodorants&store=g9b%2F0yh%2Fvp1%2F0kb&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=f360865b-bd29-4bb6-bd81-56df22af710d.DEOF27GUHBJXSMYF.SEARCH&ppt=None&ppn=None&ssid=pdg5pajwn40000001680876245219&qH=630278361da13d4f,230,660,"SET WET Cool, Charm and Mischief Avatar Deodorant Spray  -  For Men  (450 ml, Pack of 3)",4.2,"1,01,628 ratings and 10,690 reviews",Beauty and Grooming,Fragrances,Deodorants,Deodorant Spray,SET WET Deodorant Spray,https://www.flipkart.com/set-wet-cool-charm-mischief-avatar-deodorant-spray-men/product-reviews/itmcb8ab0baba15b?pid=DEOF27GUHBJXSMYF&lid=LSTDEOF27GUHBJXSMYFZIWDBE&marketplace=FLIPKART,"[""Quantity: 450 ml"",""Fragrance: Deodorant Spray"",""For Men"",""Anti Perspirant""]",3,3 Deodorant - 150 ml Each,SET WET,"Cool, Charm and Mischief Avatar",Men,Deodorant Spray,450 ml,34 Months,Yes,Fresh,No,india,"59,604","21,694","11,227","3,917","5,186","10,690 Reviews","[{""title"":""Worth every penny"",""summary"":""All are extraordinary and great. very good smell. especially the green one is outstanding... I prefer and suggest you all the green one..... 😎😎😎😎""},{""title"":""Terrific"",""summary"":""I'm giving 5 rating to this product. It's value for money and have good quality and quantity deodorant.. I wish Flipkart will provide us some more products like this in same price.. Excellent Product.. Go for it.. 💙💖💚""},{""title"":""Value-for-money"",""summary"":""Detailed Review1] About Packing*) Very solid. 2] Fragrance*) COOL AVATAR - Best among these three. I'll defiantly use this for Outside and Office*) CHARM AVATAR- Not Bad. Okay for using as Quick Ride or For GYM.*) MISCHIEF AVATAR - Like the name itself it's MISCHIEF, a confused smell, below average. Good for using while going at Temple, Church, or Mosque. *] Long lasting*) The main reason I took 1 Star. it is not long lasting. Maximum up to 3 hours. I mean hardly 3 hoursovrall I'm...""},{""title"":""Terrific purchase"",""summary"":""Nice Product For Better Price and Fragrances Is Very Good But Not Long Lasting Packing Is Good Great Deal""},{""title"":""Terrific"",""summary"":""Awesome purchase.. 😍😍best ever body spray I have ever used😘😘..Specially my favourite is the CHARM AVATAR. I just love it. Thanks to flipkart, always trusted shopping app and it's delivery is very quick. ❤️🧡💛💚""},{""title"":""Brilliant"",""summary"":""nice deo !! cool and charm are awesome , mischief is little hard ,but I recommend you try at once.you will love it""},{""title"":""Great product"",""summary"":""Once Gain got a great offer from flipkart! Thanks flipkart.Nice fragrences, 3 different fragrances. Got 3 cans, each one prices as RS. 149 and just got on Rs. 299 and with fast delivery service. For me It's a great deal.""},{""title"":""Value-for-money"",""summary"":""so fresh and lively fragrance in all 3 deo's. must buy...i just bought all 3 in 177 Rs only. but price can change till the 'reader of this comment' is ready to buy.""},{""title"":""Nice product"",""summary"":""this product is awesome packaging good I am fully satisfied with this product good in price 👌👍""},{""title"":""Simply awesome"",""summary"":""I just loved the product I mean in this price range I'm getting 3 deo... It's a best deal so over.... And the fragrances of these products are marvelous.... But the fragrance of the red one naming \""CHARM AVATAR\"" is the best""}]",Not available,Not available,Not available
https://rukminim1.flixcart.com/image/612/612/l4ei1e80/deodorant/s/d/s/-original-imagfby4eg9xwmmu.jpeg?q=70,https://www.flipkart.com/park-avenue-discover-premium-body-bogo-deodorant-spray-men/p/itm29d8546c53c4f?pid=DEOGDBMJHYWMFSFS&lid=LSTDEOGDBMJHYWMFSFSQOPPZ8&marketplace=FLIPKART&q=Deodorants&store=g9b%2F0yh%2Fvp1%2F0kb&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=f360865b-bd29-4bb6-bd81-56df22af710d.DEOGDBMJHYWMFSFS.SEARCH&ppt=None&ppn=None&ssid=pdg5pajwn40000001680876245219&qH=630278361da13d4f,212,250,PARK AVENUE Discover Premium Body BOGO Deodorant Spray  -  For Men  (150 ml),4,"11,967 ratings and 999 reviews",Beauty and Grooming,Fragrances,Deodorants,Deodorant Spray,PARK AVENUE Deodorant Spray,https://www.flipkart.com/park-avenue-discover-premium-body-bogo-deodorant-spray-men/product-reviews/itm29d8546c53c4f?pid=DEOGDBMJHYWMFSFS&lid=LSTDEOGDBMJHYWMFSFSQOPPZ8&marketplace=FLIPKART,"[""Quantity: 150 ml"",""Fragrance: Deodorant Spray"",""For Men""]",1,1 Pc Deodorant - 150 ml,PARK AVENUE,Discover Premium Body BOGO,Men,Deodorant Spray,150 ml,36 Months,Not available,Not available,Not available,Not available,"6,313","2,339","1,489",737,"1,089",999 Reviews,"[{""title"":""Wonderful"",""summary"":""Good""},{""title"":""Worthless"",""summary"":""Doesn't last long...Fragrance is also very light (Personal opinion)Very bad decision to buy..Guys think before u buy.""},{""title"":""Terrific purchase"",""summary"":""Awesome""},{""title"":""Good quality product"",""summary"":""Smells good!!""},{""title"":""Mind-blowing purchase"",""summary"":""Good""},{""title"":""Really Nice"",""summary"":""Awesome product""},{""title"":""Nice product"",""summary"":""Nice""},{""title"":""Nice"",""summary"":""Bad product only gas comes out  not even liquid spray. the product is not genuine it’s a totally fake product in the name of Park Avenue not recommend to buy at all. I will never buy this product again. I would continue using voyage or neo from park avenue as it’s much better.""},{""title"":""Just okay"",""summary"":""Nice product""},{""title"":""Moderate"",""summary"":""Don't buy this product, because whenever you will receive this product, you will get half of the quantity. And the smell isn't good. I don't like this product. And I will not buy this again, I will not recommend this product to buy .""}]",Not available,Not available,Not available
https://rukminim1.flixcart.com/image/612/612/xif0q/deodorant/o/h/w/-original-imaga36aktvbsxmx.jpeg?q=70,https://www.flipkart.com/set-wet-cool-charm-swag-avatar-deodorant-spray-men/p/itmf3v9rngwp5ybc?pid=DEOF27GU2HB2JDKK&lid=LSTDEOF27GU2HB2JDKKYX5WON&marketplace=FLIPKART&q=Deodorants&store=g9b%2F0yh%2Fvp1%2F0kb&spotlightTagId=BestsellerId_g9b%2F0yh%2Fvp1%2F0kb&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=f360865b-bd29-4bb6-bd81-56df22af710d.DEOF27GU2HB2JDKK.SEARCH&ppt=None&ppn=None&ssid=pdg5pajwn40000001680876245219&qH=630278361da13d4f,274,660,,,,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
https://rukminim1.flixcart.com/image/612/612/xif0q/deodorant/7/c/g/150-long-lasting-body-spray-musk-divine-1-deodorant-spray-just-original-imaggc53quzm2qev.jpeg?q=70,https://www.flipkart.com/just-herbs-long-lasting-body-spray-musk-divine-deodorant-men/p/itm66c80d2b7f36a?pid=DEOGGC54YJEAHBFV&lid=LSTDEOGGC54YJEAHBFV9LMGHI&marketplace=FLIPKART&q=Deodorants&store=g9b%2F0yh%2Fvp1%2F0kb&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_8cJmTnZXKacOWGZ7qTdRdopCXGDmmxW81cC8%2FzpZ%2FXUWL0Cmi2hvorTK5orirYZmSG0FwckDxaC%2B5hYU9Vju7g%3D%3D&ppt=None&ppn=None&ssid=pdg5pajwn40000001680876245219&qH=630278361da13d4f,198,325,Just Herbs Long Lasting Body Spray Musk Divine Deodorant Spray  -  For Men  (150 ml),4.5,"2,309 ratings and 1,169 reviews",Beauty and Grooming,Fragrances,Deodorants,Deodorant Spray,Just Herbs Deodorant Spray,https://www.flipkart.com/just-herbs-long-lasting-body-spray-musk-divine-deodorant-men/product-reviews/itm66c80d2b7f36a?pid=DEOGGC54YJEAHBFV&lid=LSTDEOGGC54YJEAHBFV9LMGHI&marketplace=FLIPKART,"[""Quantity: 150 ml"",""Fragrance: Deodorant Spray"",""For Men"",""Limited Edition""]",1,1,Just Herbs,Long Lasting Body Spray Musk Divine,Men,Deodorant Spray,150 ml,36 Months,Not available,Fresh,Yes,Not available,"1,645",351,145,66,102,"1,169 Reviews","[{""title"":""Worth the money"",""summary"":""This Spray is very nice and has a very pleasant fragrance. It provides a cooling effect and has minty, spicy and earthy blend. It is edgy and powerful and last long all day. It is best for office and casual use. It is a very good Body Spray to gift your loved ones.""},{""title"":""Worth every penny"",""summary"":""This product is superb and the flavour is so nice. And it's works for a long period of time loved the product""},{""title"":""Must buy!"",""summary"":""Just herbs body spray fragrance is really good and long lasting. I love the fragrance.it helps me to smell good and feel fresh 24 hours gives long lasting effect amazing love it""},{""title"":""Mind-blowing purchase"",""summary"":""I really liked the product. This product is superb and the flavour is so nice. And it's works for a long period of time loved the product! My favourite fragrance bcoz its giving very positive results.""},{""title"":""Simply awesome"",""summary"":""Just herbs all ready nice brand and this perfume is so nice and amazing fragrance so nice and long lasting ❤so good fragrance so nice. Long lasting so nice 👍I loved it❤""},{""title"":""Excellent"",""summary"":""Fragrance is really amazing truly liked this and really good in this price range truly amazing""},{""title"":""Terrific purchase"",""summary"":""I gifted it to my boyfriend and he loved it. The fragrance is so nice and soothing. Lasts very long. Very affordable and good quality product.""},{""title"":""Fabulous!"",""summary"":""My husband like body spray... His choice is very rare but  when I Gifted just herbs musk divine spray my husband... He totally loved it""},{""title"":""Highly recommended"",""summary"":""I really liked the product. Fragrance is very nice and lovely and long-lasting too.""},{""title"":""Fabulous!"",""summary"":""It's nice has really strong musk fragrance, it is amazing for those who love strong fragrances.. It is chemical free with strong masculine fragrance..It gives you confidence and positivity.. Simple go for it.""}]",Not available,Not available,Not available
https://rukminim1.flixcart.com/image/612/612/kxf0jgw0/deodorant/u/a/h/-original-imag9vrg4kkzzzgz.jpeg?q=70,https://www.flipkart.com/nivea-fresh-active-long-lasting-freshness-deodorant-spray-men/p/itmc0626756e8843?pid=DEOEF3FPFQNZMFQU&lid=LSTDEOEF3FPFQNZMFQUD1X35F&marketplace=FLIPKART&q=Deodorants&store=g9b%2F0yh%2Fvp1%2F0kb&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=f360865b-bd29-4bb6-bd81-56df22af710d.DEOEF3FPFQNZMFQU.SEARCH&ppt=None&ppn=None&ssid=pdg5pajwn40000001680876245219&qH=630278361da13d4f,194,285,NIVEA Fresh Active long lasting freshness Deodorant Spray  -  For Men  (150 ml),4.1,"20,996 ratings and 2,934 reviews",Beauty and Grooming,Fragrances,Deodorants,Deodorant Spray,NIVEA Deodorant Spray,https://www.flipkart.com/nivea-fresh-active-long-lasting-freshness-deodorant-spray-men/product-reviews/itmc0626756e8843?pid=DEOEF3FPFQNZMFQU&lid=LSTDEOEF3FPFQNZMFQUD1X35F&marketplace=FLIPKART,"[""Quantity: 150 ml"",""Fragrance: Deodorant Spray"",""For Men"",""Anti Perspirant""]",1,fresh active original,NIVEA,Fresh Active long lasting freshness,Men,Deodorant Spray,150 ml,36 Months,Yes,Fresh,No,India,"10,895","5,197","2,602","1,022","1,280","2,934 Reviews","[{""title"":""Value-for-money"",""summary"":""Fragrance- just awesome!! you will fall in love with it for sure! longevity- average.. though it depends upon the environment you are in..packing was very good and delivery was super fast!!  in a word, an affordable deo for casual use with a mind-blowing smell which doesn't stay long..""},{""title"":""Terrific"",""summary"":""Original. This specific product from Nivea is one of their best products frgrance-wise. Although the fragrance lasts only for a few hours it's still okay. One can carry the deo in their bag if required. Unlike other deos which have a wiff of fruit or flower fragrance in them this deo is very woody, earthy and spicey. Kudos to Nivea and the seller as well for selling the original. Note that the latest packaging of this deo has changed. Hope the seller starts dispatching the new packaged deo.""},{""title"":""Worth the money"",""summary"":""The product is good. 100% genuine product 👍 . Nice fragrance. good for everyday use. 4 star only because it's not that much long lasting as I expected.""},{""title"":""Super!"",""summary"":""The best body spray on this price. this spray is up to 4-6 hours active fresh not 48 hours. But Best""},{""title"":""Value-for-money"",""summary"":""This is one fresh fragrance from Nivea and perfect for most occasions - office, sport, a weekend brunch.The fragrance however does to linger on for more than 3-4 hrs and is not strong. Good packaging & delivery by Flipkart.""},{""title"":""Nice"",""summary"":""this product is awesome on this priseand thank to Flipkart for fast delivery & delivery boy behaviour is very best and help full nature thank you arun keep it up......""},{""title"":""Good"",""summary"":""Good deo for daily use. Gives you fresh feeling. I liked it. But deo doesn't last long enough. Only 2 hours.""},{""title"":""Worth every penny"",""summary"":""good product and nice smail good and fast delivery""},{""title"":""Terrific purchase"",""summary"":""Nice product..... Just packing on Aug 2018 @ very fast delivery only 2days but oder on 11th Oct.... If u packed and shipped too early so more efficient""},{""title"":""Simply awesome"",""summary"":""First of all I love Nivea. So no question should be asked abt Quality of Nivea. Main thing is that How Any e commerce web delivers it, So Flipkart is pro here. Good Support and Delivery by Flipkart.""}]",100% ORIGINAL PRODUCT,Not available,Not available
https://rukminim1.flixcart.com/image/612/612/l1tmf0w0/deodorant/m/z/p/-original-imagdb64sfs48ggf.jpeg?q=70,https://www.flipkart.com/kamasutra-spark-power-series-body-spray-men-women/p/itmc718ea37c5c8c?pid=DEOFGBZGET2YYFTR&lid=LSTDEOFGBZGET2YYFTRJSN6XR&marketplace=FLIPKART&q=Deodorants&store=g9b%2F0yh%2Fvp1%2F0kb&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=f360865b-bd29-4bb6-bd81-56df22af710d.DEOFGBZGET2YYFTR.SEARCH&ppt=None&ppn=None&ssid=pdg5pajwn40000001680876245219&qH=630278361da13d4f,161,210,Kamasutra Spark Power series Body Spray  -  For Men & Women  (135 ml),4.1,"27,166 ratings and 2,697 reviews",Beauty and Grooming,Fragrances,Deodorants,Deodorant Spray,Kamasutra Deodorant Spray,https://www.flipkart.com/kamasutra-spark-power-series-body-spray-men-women/product-reviews/itmc718ea37c5c8c?pid=DEOFGBZGET2YYFTR&lid=LSTDEOFGBZGET2YYFTRJSN6XR&marketplace=FLIPKART,"[""Quantity: 135 ml"",""Fragrance: Body Spray"",""For Men & Women"",""Anti Perspirant""]",1,1 spark 135ml,Kamasutra,Spark Power series,Men & Women,Body Spray,135 ml,36 Months,Yes,Not available,Not available,India,"14,970","5,791","3,123","1,427","1,855","2,697 Reviews","[{""title"":""Slightly disappointed"",""summary"":""The smell of the fragrance is not bad but it's very light and also it's not very long lasting.The smell is not that good but I have seen reviews stating that this is the best fragrance available, I don't know if there all paid reviews. There are many good options available in the market then this one.After trying many deodorants and scents, I found the secret temptation series fragrances are superb they are not only long lasting but there also lovely fragrances.I do not recommend any of th...""},{""title"":""Good quality product"",""summary"":""It smells good..""},{""title"":""Fabulous!"",""summary"":""It's a best body & clothes perfumeI like it 👍⭐⭐⭐⭐⭐""},{""title"":""Wonderful"",""summary"":""Ok""},{""title"":""Best in the market!"",""summary"":""Superb""},{""title"":""Wonderful"",""summary"":""Smell is to good.....💘""},{""title"":""Just wow!"",""summary"":""OSM products 😍😍""},{""title"":""Classy product"",""summary"":""Very good""},{""title"":""Good quality product"",""summary"":""After wasting lots of money on other deodrants by wild stone, Fogg and Denver etc., I found the one which at least smells like a perfume. It is has a bit strong fragrance and lasts whole day.""},{""title"":""Very poor"",""summary"":""Poor quality not long lasting waste of money""}]",Not available,Not available,Not available
