ProductName,image,link,price,maxretailprice,stars,GlobalRatings,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,reviewsLink,packageSize,Scent,Product Benefits,Sun Protection,Item Weight,Number of Items,Net Quantity,Skin Type,Item Dimensions LxWxH,Brand,Skin Tone,Is Discontinued By Manufacturer,Product Dimensions,Date First Available,Manufacturer,ASIN,Item model number,Country of Origin,Packer,Included Components,Generic Name,Active Ingredients,Item part number,Water Resistance Level,Item Form,Item Volume
"VLCC De Tan Sunscreen Gel Crème SPF 50 PA+++, Fades Tan & Enhances Glow, 125gm",https://m.media-amazon.com/images/I/51U2JxkMdFL._AC_UL320_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MToxMDczODI5MTYyMTc5Nzc0OjE2ODAxNzY0MTM6c3BfYXRmOjIwMTM1MDQxNjc1MDk4OjowOjo&url=%2FVLCC-Tan-Sunscreen-Creme-100g%2Fdp%2FB079KDHC3C%2Fref%3Dsr_1_1_sspa%3Fcrid%3D14MMX7ID9EK3B%26keywords%3Dlakme%2Bsunscreen%26qid%3D1680176413%26sprefix%3Dlakme%2Bsuncream%252Caps%252C238%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,337,450,3.9,"5,396",44%,27%,14%,5%,10%,https://amazon.in/VLCC-Tan-Sunscreen-Creme-100g/product-reviews/B079KDHC3C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Cucumber,Radiant Skin,50 SPF,100 g,1,100.0 gram,All,50 x 30 x 150 Millimeters,VLCC,All,No,5 x 3 x 15 cm; 100 Grams,3 February 2018,"VLCC Personal Care Ltd., VLCC Personal Care Ltd., Plot No. 11 & 12, Sec. 6A,Sidcul, IIE Haridwar 249403, Uttarakhand, India; +91124-4011369",B079KDHC3C,F0440-001,India,"VLCC Personal Care Ltd., Plot No. 11 & 12, Sec. 6A,Sidcul, IIE Haridwar 249403, Uttarakhand, India; +91124-4011369","VLCC De Tan Sunscreen Gel Creme, SPF 50, 100g",Sunscreen,Not available,Not available,Not available,Not available,Not available
"Plum Green Tea Daylight Sunscreen Gel | SPF For Oily, Acne Prone Skin | Green Tea Extracts | SPF 35 | Effective Sun Protection | No White Cast | 100% Vegan | Cruelty Free | 50ml",https://m.media-amazon.com/images/I/41QoWrx2sgL._AC_UL320_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MToxMDczODI5MTYyMTc5Nzc0OjE2ODAxNzY0MTM6c3BfYXRmOjIwMTM0Njc1MTUzMjk4OjowOjo&url=%2FPlum-Green-Day-Light-Sunscreen-Prone%2Fdp%2FB07QGN93K2%2Fref%3Dsr_1_2_sspa%3Fcrid%3D14MMX7ID9EK3B%26keywords%3Dlakme%2Bsunscreen%26qid%3D1680176413%26sprefix%3Dlakme%2Bsuncream%252Caps%252C238%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,473,575,4.2,"1,828",52%,27%,11%,4%,6%,https://amazon.in/Plum-Green-Day-Light-Sunscreen-Prone/product-reviews/B07QGN93K2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Green tea,Antioxidant,35 SPF,50 g,1,50.0 millilitre,Oily,14 x 8 x 6 Centimeters,Plum,Not available,Not available,14 x 8 x 6 cm; 50 Grams,6 April 2019,"Sprivil Healthcare Private Limited, Sprivil Healthcare Private Limited L1/4, Additional MIDC,Satara, (MH)-415004",B07QGN93K2,GT-DLS-SPF35,India,"Sprivil Healthcare Private Limited L1/4, Additional MIDC,Satara, (MH)-415005",1 Sunscreen,Skin care,Not available,Not available,Not available,Not available,Not available
"SunScoop Invisible Sunscreen Cream SPF 40 PA+++, No White Cast, For Dry, Oily and Normal Skin Types, Gel Based Sunscreen, Transparent & Lightweight, Water & Sweat Resistant, For Women and Men, 45gm",https://m.media-amazon.com/images/I/51rgnfx2PZL._AC_UL320_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MToxMDczODI5MTYyMTc5Nzc0OjE2ODAxNzY0MTM6c3BfYXRmOjIwMTIyMTE2MTI5Mzk4OjowOjo&url=%2FSunScoop-Invisible-Sunscreen-Transparent-Lightweight%2Fdp%2FB09VSXDLTF%2Fref%3Dsr_1_3_sspa%3Fcrid%3D14MMX7ID9EK3B%26keywords%3Dlakme%2Bsunscreen%26qid%3D1680176413%26sprefix%3Dlakme%2Bsuncream%252Caps%252C238%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,499,675,4.5,223,71%,16%,9%,2%,3%,https://amazon.in/SunScoop-Invisible-Sunscreen-Transparent-Lightweight/product-reviews/B09VSXDLTF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Unscented,Not available,40 SPF,100 g,1,45.0 millilitre,"Oily, Combination, Sensitive, Dry, Normal",44 x 30 x 140 Millimeters,SunScoop,Not available,Not available,4.4 x 3 x 14 cm; 100 Grams,15 March 2022,Not available,B09VSXDLTF,Not available,India,Not available,Not available,Sunscreen,Octocrylene,SS-IS-SPF40-45,Not available,Not available,Not available
"Dr. Sheth's Haldi & Hyaluronic Acid Cream Sunscreen With 1% Hyaluronic Acid & 1% Turmeric Extract, Spf 50+ PA+++ Hydrating & Brightening, Protects Against UVA/UVB & Blue Light For Unisex, 50g",https://m.media-amazon.com/images/I/616dw-RxtoL._AC_UL320_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MToxMDczODI5MTYyMTc5Nzc0OjE2ODAxNzY0MTM6c3BfYXRmOjIwMTAxNjMwNDQwOTk4OjowOjo&url=%2FDr-Sheths-Hyaluronic-Sunscreen-Brightening%2Fdp%2FB0B9Y5D8N7%2Fref%3Dsr_1_4_sspa%3Fcrid%3D14MMX7ID9EK3B%26keywords%3Dlakme%2Bsunscreen%26qid%3D1680176413%26sprefix%3Dlakme%2Bsuncream%252Caps%252C238%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,434,499,4.2,354,53%,28%,8%,3%,7%,https://amazon.in/Dr-Sheths-Hyaluronic-Sunscreen-Brightening/product-reviews/B0B9Y5D8N7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Not available,"Hydrating, Anti-Inflammatory, Brightening",50 SPF,50 g,1,50.0 gram,All,6.5 x 4.1 x 13.7 Centimeters,Dr. Sheth's,Not available,Not available,6.5 x 4.1 x 13.7 cm; 50 Grams,17 August 2022,Fusion Cosmeceutics,B0B9Y5D8N7,Not available,India,Not available,Not available,Not available,Not available,DSFP1144,Not Water Resistant,Cream,Not available
"Lakme Sun Expert SPF 50 PA+++Ultra Matte Tinted Sunscreen, Sun Protection with Even Tone Skin, 50ml",https://m.media-amazon.com/images/I/518YXDkSHEL._AC_UL320_.jpg,https://amazon.in/Lakme-Sun-Expert-Tinted-Sunscreen/dp/B085WJVX7C/ref=sr_1_5?crid=14MMX7ID9EK3B&keywords=lakme+sunscreen&qid=1680176413&sprefix=lakme+suncream%2Caps%2C238&sr=8-5,217,325,4.2,"3,986",52%,26%,13%,4%,5%,https://amazon.in/Lakme-Sun-Expert-Tinted-Sunscreen/product-reviews/B085WJVX7C/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,SPF 50,Cucumber,Even Toning,50 SPF,50 g,1,50.0 millilitre,Normal,5.5 x 11.5 x 3.5 Centimeters,LAKMÉ,Not available,Not available,5.5 x 11.5 x 3.5 cm; 50 Grams,13 March 2020,"Lotus Beauty Care Products Pvt. Ltd, Lotus Beauty Care Products Pvt. Ltd Lotus Beauty Care Products Pvt. Ltd., Unit II., Plot No. 6 & 7 Sector 1A,IIE , SIDCUL , Ranipur,Haridwar-Uttarakhand 249 403 Toll Free no: 18001022221",B085WJVX7C,27313,India,"Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099 Toll Free no: 18001022221",Face Cream,Sun Expert Tinted Sunscreen 50 SPF,Not available,Not available,Not available,Not available,50 Millilitres
"LAKMÉ Sun Expert Tinted Cream Sunscreen 50 SPF, 100ml",https://m.media-amazon.com/images/I/518YXDkSHEL._AC_UL320_.jpg,https://amazon.in/Lakm%C3%A9-Sun-Expert-Tinted-Sunscreen/dp/B085T374WK/ref=sr_1_6?crid=14MMX7ID9EK3B&keywords=lakme+sunscreen&qid=1680176413&sprefix=lakme+suncream%2Caps%2C238&sr=8-6,499,525,4.3,"2,517",56%,26%,9%,3%,5%,https://amazon.in/Lakm%C3%A9-Sun-Expert-Tinted-Sunscreen/product-reviews/B085T374WK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Tinted Sunscreen Cream,Cucumber,"Dark Spot Correction, Radiant Skin",50 SPF,100 g,1,100.0 gram,Normal,40 x 140 x 40 Millimeters,LAKMÉ,Not available,Not available,4 x 14 x 4 cm; 100 Grams,13 March 2020,"Lotus Beauty Care Products Pvt. Ltd, Lotus Beauty Care Products Pvt. Ltd., Unit II., Plot No. 6 & 7 Sector 1A,IIE , SIDCUL , Ranipur,Haridwar-Uttarakhand 249 403 Toll Free no: 18001022221",B085T374WK,27307,India,"Hindustan Unilever Ltd, Unilever House, B D Sawant Marg, Chakala Andheri East - 400099 Toll Free no: 18001022221",Sunscreen,Sun Expert Tinted Sunscreen 50 SPF,Not available,Not available,Not available,Not available,100 Millilitres
"Lakme Sun Expert SPF 50 PA+++ Light Weight Gel Sunscreen, Blocks Upto 97% Harmful Sunrays, 50 g",https://m.media-amazon.com/images/I/51ncONDgzNS._AC_UL320_.jpg,https://amazon.in/Lakme-Expert-Ultra-Matte-50ml/dp/B0744R95BT/ref=sr_1_7?crid=14MMX7ID9EK3B&keywords=lakme+sunscreen&qid=1680176413&sprefix=lakme+suncream%2Caps%2C238&sr=8-7,,,4.0,"1,756",48%,26%,13%,5%,8%,https://amazon.in/Lakme-Expert-Ultra-Matte-50ml/product-reviews/B0744R95BT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"Sunscreen, 50ml","Lemongrass, Cucumber",Hypoallergenic,50 SPF,50 g,1,50.0 gram,All,15 x 10 x 13 Centimeters,LAKMÉ,Not available,No,15 x 10 x 13 cm; 50 Grams,21 July 2017,Lotus Beauty Care Products Pvt. Ltd,B0744R95BT,12903,Not available,Not available,Not available,Sunscreen lotion,Not available,Not available,Not available,Not available,50 Millilitres
"LAKMÉ Sun Expert SPF 50 PA++ Ultra Matte Lotion Sunscreen, Blocks Upto 97% Harmful Sunrays, 100 ml",https://m.media-amazon.com/images/I/411srPjwdqL._AC_UL320_.jpg,https://amazon.in/Lakme-Expert-Fairness-Sunscreen-Lotion/dp/B00CS1KT96/ref=sr_1_8?crid=14MMX7ID9EK3B&keywords=lakme+sunscreen&qid=1680176413&sprefix=lakme+suncream%2Caps%2C238&sr=8-8,409.,499,4.2,"6,195",53%,27%,11%,4%,5%,https://amazon.in/Lakme-Expert-Fairness-Sunscreen-Lotion/product-reviews/B00CS1KT96/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sunscreen Lotion,"Lemongrass, Cucumber",Moisturizing,50 SPF,100 Milligrams,1,100.0 millilitre,Normal to dry skin,25.2 x 20.4 x 21.6 Centimeters,LAKMÉ,Not available,No,25.2 x 20.4 x 21.6 cm; 0.1 Grams,2 September 2013,Lotus Beauty Care Products Pvt. Ltd,B00CS1KT96,12685,India,Not available,Not available,Sunscreen lotion,Not available,Not available,Not available,Not available,100 Millilitres
"LAKMÉ Sun Expert SPF 24 PA++ Ultra Matte Sunscreen Lotion 50 ml, Daily Light Sun Protect Cream for Face, Sun Block for All Skin Types, Men & Women",https://m.media-amazon.com/images/I/41R7qFRNg5L._AC_UL320_.jpg,https://amazon.in/Lakme-Expert-Sunscreen-Lotion-Protect/dp/B09W2PXXY7/ref=sr_1_9?crid=14MMX7ID9EK3B&keywords=lakme+sunscreen&qid=1680176413&sprefix=lakme+suncream%2Caps%2C238&sr=8-9,175.,225,4.1,335,52%,26%,11%,4%,7%,https://amazon.in/Lakme-Expert-Sunscreen-Lotion-Protect/product-reviews/B09W2PXXY7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Cucumber,"Dark Spot Correction, Ultra-Violet Protection",24 SPF,50 g,1,50.0 millilitre,All,43 x 26 x 135 Millimeters,LAKMÉ,Not available,Not available,4.3 x 2.6 x 13.5 cm; 50 Grams,21 March 2022,"Lotus Beauty Care Products Pvt. Ltd, Lotus Beauty Care Products Pvt. Ltd., Unit II., Plot No. 6 & 7 Sector 1A,IIE , SIDCUL , Ranipur,Haridwar-Uttarakhand 249 403",B09W2PXXY7,LSUJ1R0,India,"Lotus Beauty Care Products Pvt. Ltd., Unit II., Plot No. 6 & 7 Sector 1A,IIE , SIDCUL , Ranipur,Haridwar-Uttarakhand 249 403",Not available,Sunscreen Lotion,"Octayl salicilate, Lemon grass & Cucumber extracts, Phenyl benzymidazole sulphonic acid",Not available,Not available,Not available,Not available
"LAKMÉ Sun Expert SPF 30 PA++ Ultra Matte Lotion Sunscreen Cream, Blocks Upto 97% Harmful Sunrays, 100 ml",https://m.media-amazon.com/images/I/51KstcTkbiL._AC_UL320_.jpg,https://amazon.in/Lakme-Expert-Ultra-Matte-Lotion/dp/B00CS1KM8Y/ref=sr_1_10?crid=14MMX7ID9EK3B&keywords=lakme+sunscreen&qid=1680176413&sprefix=lakme+suncream%2Caps%2C238&sr=8-10,360,449,4.2,"4,948",54%,27%,11%,4%,4%,https://amazon.in/Lakme-Expert-Ultra-Matte-Lotion/product-reviews/B00CS1KM8Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Cucumber,Moisturizing,30 SPF,Not available,1,100.0 millilitre,Normal,29.9 x 10.5 x 15.5 Centimeters,LAKMÉ,All,No,Not available,1 January 2017,Lotus Beauty Care Products Pvt. Ltd,B00CS1KM8Y,22581,India,Not available,Not available,sunscreen lotion,Not available,Not available,Not available,Not available,100 Millilitres
