ProductName,image,link,price,maxretailprice,stars,GlobalRatings,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,reviewsLink,packageSize,Product Benefits,Hair Type,Scent,Liquid Volume,Item Form,Brand,Number of Items,Net Quantity,Item Volume,Is Discontinued By Manufacturer,Package Dimensions,Date First Available,ASIN,Country of Origin,Item Weight,Material Feature,Age Range (Description),Recommended Uses For Product,Item part number,Manufacturer,Item model number,Generic Name,Material Type Free,Product Dimensions,Packer,Importer,Item Dimensions LxWxH,Active Ingredients,Use for,Skin Type,Special Ingredients,Included Components,Special Feature,Colour,Finish Type,Department,Package Information,Skin Tone,Flavour
"Beardo Beard Oil-Hair Wax-Face Wash Combo |Godfather Lite Beard Oil for Men, Strong Hold Hair Wax & Activated Charcoal Facewash Combo (Set of 3)",https://m.media-amazon.com/images/I/61b33xf8rBL._AC_UL320_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTozODQ4OTk5NTI5NzM0MjEwOjE2ODAwMzEyNTU6c3BfYXRmOjIwMDYwMzYxMDkyNzA4OjowOjo&url=%2FBeardo-Godfather-Lite-Beard-Oil%2Fdp%2FB07HTLX8W4%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1GEOQD3CN5U5L%26keywords%3Dbeardo%26qid%3D1680031255%26sprefix%3Dbeardo%252Caps%252C228%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"1,025","1,025",4.2,230,55%,21%,14%,4%,5%,https://amazon.in/Beardo-Godfather-Lite-Beard-Oil/product-reviews/B07HTLX8W4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Nourishing,All,Activated Charcoal,30 Millilitres,Wax,BEARDO,1,1 count,30 Millilitres,No,17.7 x 15.9 x 4.8 cm; 440 Grams,28-Sep-18,B07HTLX8W4,India,440 g,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Dapr. Beard Butter (100 grams) |Hydrating and Nourishing with Shea Butter, Bourbon Oil, Orange Bitters & Hemp Seed oil for Softer & Smoother Beard|",https://m.media-amazon.com/images/I/718p0k2bSSL._AC_UL320_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTozODQ4OTk5NTI5NzM0MjEwOjE2ODAwMzEyNTU6c3BfYXRmOjIwMDMzNzY0MTM2MzA0OjowOjo&url=%2FDapr-Beard-Butter-grams-Combination%2Fdp%2FB07MW961QN%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1GEOQD3CN5U5L%26keywords%3Dbeardo%26qid%3D1680031255%26sprefix%3Dbeardo%252Caps%252C228%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,549,649,4.2,564,56%,27%,9%,3%,6%,https://amazon.in/Dapr-Beard-Butter-grams-Combination/product-reviews/B07MW961QN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Hydrating,Not available,Orange,100,Not available,Dapr.,1,100 gram,Not available,Not available,7.8 x 7.6 x 7.4 cm; 100 Grams,16-Jan-19,B07MW961QN,India,100 g,Natural,Adult,"Beard,Hydrating,Mustache,Nourishing,Provides Protein,Smoothening",20/C/UA/20103,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Beardo Beard Activator Derma Roller for Men, 540-0.5mm Chromium needles, Stimulates Hair Growth | Follicles activation",https://m.media-amazon.com/images/I/51ErovamJyL._AC_UL320_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTozODQ4OTk5NTI5NzM0MjEwOjE2ODAwMzEyNTU6c3BfYXRmOjIwMDU0MDIzNDAxMTk4OjowOjo&url=%2FBeardo-Beard-Activator-Roller-0-5MM%2Fdp%2FB08WK79P2S%2Fref%3Dsr_1_3_sspa%3Fcrid%3D1GEOQD3CN5U5L%26keywords%3Dbeardo%26qid%3D1680031255%26sprefix%3Dbeardo%252Caps%252C228%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,425,750,4,899,48%,23%,16%,5%,9%,https://amazon.in/Beardo-Beard-Activator-Roller-0-5MM/product-reviews/B08WK79P2S/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1 Count (Pack of 1),Not available,Not available,Not available,Not available,Not available,Not available,Not available,1 count,Not available,Not available,16.7 x 4.6 x 4.2 cm; 70 Grams,13-Feb-21,B08WK79P2S,India,70 g,Not available,Not available,Not available,Not available,Ecomm,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Man Matters BeardGro Beard Growth Tonic for Men 30ml | 1.5% Aminexil, 4% Moringa, 4% Goksura & 2% LashLD | Thicker beard growth, Softens Beard | Naturally Sourced & Scientific-based Formula",https://m.media-amazon.com/images/I/61uhAuyvSBL._AC_UL320_.jpg,https://amazon.in/sspa/click?ie=UTF8&spc=MTozODQ4OTk5NTI5NzM0MjEwOjE2ODAwMzEyNTU6c3BfYXRmOjIwMDQwOTE2ODU4MTk4OjowOjo&url=%2FMan-Matters-Tonic-Stimulates-Scientific-based%2Fdp%2FB09MD6DL1V%2Fref%3Dsr_1_4_sspa%3Fcrid%3D1GEOQD3CN5U5L%26keywords%3Dbeardo%26qid%3D1680031255%26sprefix%3Dbeardo%252Caps%252C228%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,399,499,3.7,224,40%,23%,16%,8%,12%,https://amazon.in/Man-Matters-Tonic-Stimulates-Scientific-based/product-reviews/B09MD6DL1V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,30.0 millilitre,Not available,Not available,11.2 x 9.8 x 5.2 cm; 110 Grams,22-Nov-21,B09MD6DL1V,India,110 g,Not available,Not available,Not available,Not available,Not available,Man Matters Beardgro Tonic,Beard Tonic,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Beardo Beard & Hair Growth Oil for thicker, longer beard | For patchy, uneven beard | Beard Oil for fast beard growth | Natural Hair Oil 50ml",https://m.media-amazon.com/images/I/61FIk2+alhL._AC_UL320_.jpg,https://amazon.in/Beardo-Beard-Hair-Growth-Oil/dp/B01C8FM764/ref=sr_1_5?crid=1GEOQD3CN5U5L&keywords=beardo&qid=1680031255&sprefix=beardo%2Caps%2C228&sr=8-5,510,750,3.7,"25,714",43%,20%,15%,7%,14%,https://amazon.in/Beardo-Beard-Hair-Growth-Oil/product-reviews/B01C8FM764/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,50 ml (Pack of 1),Not available,All,Earthy,50 Millilitres,"Oil-based, Non-sticky, Lightweight, Paraben Free",BEARDO,1,50.0 millilitre,50 Millilitres,No,Not available,02-Dec-15,B01C8FM764,India,0.05 g,Not available,Not available,Not available,Not available,Beardo,BER0090320,Beardo Hair Growth Oil,"No Harmful Chemicals, Paraben Free",4.5 x 4.5 x 13.5 cm; 0.05 Grams,1,"Zed Lifestyle Pvt. Ltd, 711, Shapath V, Opp. Karnavati Club, SG Highway, Prahlad Nagar, Ahmedabad, Gujarat – 380015.",45 x 45 x 135 Millimeters,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Beardo Ultraglow All In One Face Cream For Men With Spf 30 | Skin Brightening & Whitening Cream | Pigmentation Removal Cream | De Tan For Men | 60 G,https://m.media-amazon.com/images/I/51EtT0mMJ4L._AC_UL320_.jpg,https://amazon.in/Beardo-Ultraglow-Brightening-Reduction-Protection/dp/B09MJ3936B/ref=sr_1_6?crid=1GEOQD3CN5U5L&keywords=beardo&qid=1680031255&sprefix=beardo%2Caps%2C228&sr=8-6,237,325,3.7,978,41%,25%,15%,7%,12%,https://amazon.in/Beardo-Ultraglow-Brightening-Reduction-Protection/product-reviews/B09MJ3936B/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Not available,Not available,Aloe Vera,Not available,Cream,BEARDO,1,60.0 gram,Not available,Not available,Not available,24-Nov-21,B09MJ3936B,India,60 g,Not available,Not available,Not available,UG_FC,"R.I. Ayurveda Research Labs, R.I. Ayurveda Research Labs",Not available,Face Moisturizer & Day Cream,Paraben Free,4 x 5 x 12 cm; 60 Grams,Not available,Not available,40 x 50 x 120 Millimeters,Niacinamide,Face,All,"Aloe vera, Vitamin E, Niacinamide",1 Face Cream,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Beardo Hair Serum, 50ml | Daily use hair serum for men with Argan Oil | Provides instant shine | Controls Frizz | Makes hair silky smooth| For All Hair Types | Paraben Free | Sulphate Free",https://m.media-amazon.com/images/I/51IyV-DTlJL._AC_UL320_.jpg,https://amazon.in/Beardo-Hair-Serum-Argan-Oil/dp/B01E1BYWJI/ref=sr_1_7?crid=1GEOQD3CN5U5L&keywords=beardo&qid=1680031255&sprefix=beardo%2Caps%2C228&sr=8-7,206,295,3.9,"7,252",45%,25%,16%,6%,8%,https://amazon.in/Beardo-Hair-Serum-Argan-Oil/product-reviews/B01E1BYWJI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Hair Serum,"Hair Smoothing, Moisturizing, Nourishing, Adds Shine",All,Argan Oil Hair Serum - 50ml,50 Millilitres,Oil,BEARDO,1,50.0 millilitre,50 Millilitres,No,Not available,09-Apr-16,B01E1BYWJI,India,50 g,Not available,Not available,Not available,Not available,"Bay, Beardo- Zed Lifestyle Pvt. Ltd, 711, Shapath V, Opp. Karnavati Club, SG Highway, Prahlad Nagar, Ahmedabad, Gujarat – 380015.",BeardoHair serum,Beardo Hair Serum,"Sulphate Free, Paraben Free",11 x 5 x 5 cm; 50 Grams,1,"Zed Lifestyle Pvt. Ltd, 711, Shapath V, Opp. Karnavati Club, SG Highway, Prahlad Nagar, Ahmedabad, Gujarat – 380015.",11 x 5 x 5 Centimeters,Not available,Not available,Not available,Not available,Hair serum,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Beardo Whisky Smoke Eau De Parfum Men Spicy, Woody - Oudh Perfume For Men Long Lasting, Date Night Fragrance Body Spray For Men, 100ml",https://m.media-amazon.com/images/I/619uYh6-rhL._AC_UL320_.jpg,https://amazon.in/Beardo-Whisky-Perfume-PARFUM-Lasting/dp/B096XV4HR4/ref=sr_1_8?crid=1GEOQD3CN5U5L&keywords=beardo&qid=1680031255&sprefix=beardo%2Caps%2C228&sr=8-8,540,"1,200",4,"9,072",51%,23%,12%,5%,9%,https://amazon.in/Beardo-Whisky-Perfume-PARFUM-Lasting/product-reviews/B096XV4HR4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Woody Spicy - OUDH Leather,Not available,Not available,Woody Spicy - OUDH Leather,Not available,Spray,BEARDO,Not available,100.0 millilitre,100 Millilitres,Not available,Not available,20-Sep-21,B096XV4HR4,India,380 g,Not available,Adult,Not available,WSK,"Aroma De France, Aroma De France, 324 Vill Ranu, Vadodra, Guj- 391445",Not available,Perfume - Eau De Parfum,Not available,14.2 x 10.3 x 4.8 cm; 380 Grams,"Aroma De France, 324 Vill Ranu, Vadodra, Guj- 391445",Not available,14.2 x 10.3 x 4.8 Centimeters,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Beardo Beard Oil for men - Godfather Lite Beard and Moustache Oil | Non-Sticky, Light; Almond Oil, Aloe vera, Vitamin E; Shiny Nourished Beards, 30 ml",https://m.media-amazon.com/images/I/61YGPqnekfL._AC_UL320_.jpg,https://amazon.in/Beardo-Godfather-Lite-Beard-Moustache/dp/B01M1FWOKU/ref=sr_1_9?crid=1GEOQD3CN5U5L&keywords=beardo&qid=1680031255&sprefix=beardo%2Caps%2C228&sr=8-9,262,350,3.8,"12,438",44%,22%,15%,7%,11%,https://amazon.in/Beardo-Godfather-Lite-Beard-Moustache/product-reviews/B01M1FWOKU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,30 ml (Pack of 1),Not available,Dry,Earthy,0.03 Millilitres,"Oil-based, Non-sticky, Lightweight, Paraben Free",BEARDO,Not available,30.0 millilitre,0.03,No,Not available,17-Sep-16,B01M1FWOKU,India,26 g,Not available,Not available,Not available,Not available,Bay,CPCA-2019-020993,God Father Beard Oil,Not available,10 x 5 x 10 cm; 26 Grams,Not available,Not available,10 x 5 x 10 Centimeters,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"BEARDO De-Tan Face Wash For Men, 100ml | Reduces Tan For Glowing Complexion | Coffee Facewash | Dark Spot Reduction | Tan Removal Face Wash Men",https://m.media-amazon.com/images/I/61UPkEtwKCL._AC_UL320_.jpg,https://amazon.in/BEARDO-Tan-Facewash-Men-100/dp/B07QXCP5DH/ref=sr_1_10?crid=1GEOQD3CN5U5L&keywords=beardo&qid=1680031255&sprefix=beardo%2Caps%2C228&sr=8-10,275,275,3.9,"2,401",44%,26%,15%,5%,11%,https://amazon.in/BEARDO-Tan-Facewash-Men-100/product-reviews/B07QXCP5DH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Not available,Not available,Coffee,Not available,Gel,BEARDO,1,100.0 millilitre,Not available,Not available,13.1 x 7.8 x 4.8 cm; 100 Grams,17-Apr-19,B07QXCP5DH,India,100 g,Cruelty Free,Adult,Not available,Not available,Vimson Derma,Beardo de tan1,De-Tan Facewash For Men,Paraben Free,Not available,Not available,Not available,Not available,Not available,Not available,All,Not available,Not available,Not Tested On Animals,Not available,Not available,Not available,Not available,Not available,Not available
"Beardo Activated Charcoal Anti Pollution Face Wash For Deep Pore Cleaning, 100ml | Charcoal Face Wash For Men | Acne Face Wash For Oily Skin",https://m.media-amazon.com/images/I/61yGONGkgTL._AC_UL320_.jpg,https://amazon.in/Beardo-Activated-Charcoal-Pollution-Control/dp/B071CMCRXG/ref=sr_1_11?crid=1GEOQD3CN5U5L&keywords=beardo&qid=1680031255&sprefix=beardo%2Caps%2C228&sr=8-11,200,275,3.9,"6,371",47%,23%,14%,6%,9%,https://amazon.in/Beardo-Activated-Charcoal-Pollution-Control/product-reviews/B071CMCRXG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Not available,Not available,Not available,Activated Charcoal,Not available,Not available,BEARDO,1,100.0 millilitre,Not available,No,Not available,19-Apr-17,B071CMCRXG,India,120 g,"Cruelty Free, Vegan",Adult,Not available,Not available,Bay,charcoalfacewash-100,charcoalfacewash-100,Oil Free,4 x 6.5 x 15.4 cm; 120 Grams,Not available,Not available,40 x 65 x 154 Millimeters,Not available,Not available,Acne Prone,Not available,Not available,"Paraben Free Vegan, Cruelty Free",Charcoal Face Wash 100 ml (Pack of 1),Not available,Not available,Not available,Not available,Not available
